# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
BKJAFL_06025	cds	1	816	+	GOIOJP_12570	parA	ParA family protein	RefSeq:WP_010257373.1, SO:0001217, UniParc:UPI00017F3240, UniRef:UniRef100_UPI00017F3240, UniRef:UniRef50_A0A7I6GV51, UniRef:UniRef90_UPI00016C53C7
BKJAFL_06030	cds	1	579	+	GOIOJP_12575		chromosome replication/partitioning protein	RefSeq:WP_010257375.1, SO:0001217, UniParc:UPI00017F3241, UniRef:UniRef100_UPI001AEEF17D, UniRef:UniRef50_C0RBP9, UniRef:UniRef90_UPI001AEEF17D
BKJAFL_06035	cds	1	300	+	GOIOJP_12580		plasmid maintenance protein	RefSeq:WP_029361857.1, SO:0001217, UniParc:UPI000494A17F, UniRef:UniRef100_UPI000494A17F, UniRef:UniRef50_UPI000494A17F, UniRef:UniRef90_UPI000494A17F
BKJAFL_06040	cds	1	327	+	GOIOJP_12585		hypothetical protein	RefSeq:WP_231017678.1, SO:0001217, UniParc:UPI0002F06007, UniRef:UniRef100_UPI0002F06007, UniRef:UniRef50_A0A1L8ZA64, UniRef:UniRef90_UPI0002F06007
BKJAFL_06045	cds	1	696	+	GOIOJP_12590		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001E3A252C, UniRef:UniRef90_UPI001E3A252C
BKJAFL_06235	cds	1	711	+	GOIOJP_12595		P12 family lipoprotein	SO:0001217, UniRef:UniRef50_UPI001E3AC435, UniRef:UniRef90_UPI0002ECC631
BKJAFL_06330	cds	1	522	+	GOIOJP_12600		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A7D7WIM1, UniRef:UniRef90_UPI001E31BD71
BKJAFL_06380	cds	1	915	+	GOIOJP_12605		variable large family protein	SO:0001217, UniRef:UniRef50_B8F0S7, UniRef:UniRef90_UPI000D03F880
BKJAFL_06390	cds	1	774	+	GOIOJP_12610	osm28	porin Osm28	BlastRules:WP_010257191, RefSeq:WP_010257191.1, SO:0001217, UniParc:UPI0000056943, UniRef:UniRef100_O50963, UniRef:UniRef50_A0A7W9W2V8, UniRef:UniRef90_A0A7W9ZC53
BKJAFL_06395	cds	1	891	+	GOIOJP_12615		complement regulator-acquiring protein	RefSeq:WP_010257187.1, SO:0001217, UniParc:UPI00016B3642, UniRef:UniRef100_UPI00016B3642, UniRef:UniRef50_O50962, UniRef:UniRef90_O50962
BKJAFL_06405	cds	1	414	+	GOIOJP_12620		complement regulator-acquiring protein	SO:0001217, UniRef:UniRef50_Q5W2B8, UniRef:UniRef90_Q5W2B8
BKJAFL_06425	cds	46	807	+	GOIOJP_12625		Complement regulator acquiring protein 1	SO:0001217, UniRef:UniRef50_Q5W2C0
FMOGGM_00005	cds	1	864	+	GOIOJP_12630		Site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_A0A7U3YBK8
FMOGGM_04355	cds	1	1629	+	GOIOJP_12635	ptsG	Phosphotransferase system IIB components	COG:COG1264, COG:G, RefSeq:WP_010890592.1, SO:0001217, UniParc:UPI000005696B, UniRef:UniRef100_O51000, UniRef:UniRef50_W6TH78, UniRef:UniRef90_A0A7I6GV57
FMOGGM_04360	cds	1	1245	+	GOIOJP_12640		Putative ankyrin repeat protein BB_B28	RefSeq:WP_012662312.1, SO:0001217, UniParc:UPI00017F3745, UniRef:UniRef100_UPI00017F3745, UniRef:UniRef50_O50999, UniRef:UniRef90_O50999
FMOGGM_04365	cds	1	552	+	GOIOJP_12645		Lipoprotein	RefSeq:WP_014540090.1, SO:0001217, UniParc:UPI0001F23BBB, UniRef:UniRef100_UPI0001F23BBB, UniRef:UniRef50_A0A7I6GV30, UniRef:UniRef90_A0A7I6GV30
FMOGGM_04370	cds	1	696	+	GOIOJP_12650	immA	Zn-dependent peptidase ImmA, M78 family	COG:COG2856, COG:O, RefSeq:WP_012662310.1, SO:0001217, UniParc:UPI00016C4F60, UniRef:UniRef100_A0A9N7G5H4, UniRef:UniRef50_O50997, UniRef:UniRef90_O50997
FMOGGM_04375	cds	1	486	+	GOIOJP_12655		Lipoprotein	RefSeq:WP_012622032.1, SO:0001217, UniParc:UPI00016B336E, UniRef:UniRef100_A0A7U4DIU1, UniRef:UniRef50_A0A7W9SL36, UniRef:UniRef90_A0A7W9SL36
FMOGGM_04385	cds	1	1356	+	GOIOJP_12660	nCS2	Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family	COG:COG2252, COG:F, RefSeq:WP_014540088.1, SO:0001217, UniParc:UPI0001F239FE, UniRef:UniRef100_A0A9N7G4N9, UniRef:UniRef50_A0A7I6GV22, UniRef:UniRef90_A0A7I6GV22
FMOGGM_04390	cds	1	1356	+	GOIOJP_12665	nCS2	Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family	COG:COG2252, COG:F, RefSeq:WP_012622031.1, SO:0001217, UniParc:UPI00016B3370, UniRef:UniRef100_UPI00016B3370, UniRef:UniRef50_A0A7I6GV22, UniRef:UniRef90_A0A7I6GV62
FMOGGM_04395	cds	1	633	+	GOIOJP_12670		Mammal-specific outer surface protein C	SO:0001217, UniRef:UniRef50_Q07337, UniRef:UniRef90_O85808
FMOGGM_04420	cds	1	528	+	GOIOJP_12675		hypothetical protein	RefSeq:WP_012621486.1, SO:0001217, UniParc:UPI00016B2C5B, UniRef:UniRef100_A0A9N7ARY7, UniRef:UniRef90_A0A0H3C0R6
FMOGGM_04445	cds	1	537	+	GOIOJP_12680		KID repeat family protein	RefSeq:WP_010883921.1, SO:0001217, UniParc:UPI000005774B, UniRef:UniRef100_H7C7P9, UniRef:UniRef50_A0A1L6VSD7, UniRef:UniRef90_A0A1L6VSG6
FMOGGM_04475	cds	1	444	+	GOIOJP_12685		Lipoprotein	RefSeq:WP_012672691.1, SO:0001217, UniParc:UPI00016C4885, UniRef:UniRef100_A0A7U3YAM1, UniRef:UniRef50_H7C7P1, UniRef:UniRef90_A0A7U3YAM1
FMOGGM_04490	cds	1	336	+	GOIOJP_12690		Borrelia BBR25 lipoprotein	RefSeq:WP_010258856.1, SO:0001217, UniParc:UPI00016C36EF, UniRef:UniRef100_A0A7U3YBU9, UniRef:UniRef50_C0R8I0, UniRef:UniRef90_A0A1L6VUP4
FMOGGM_04555	cds	1	429	+	GOIOJP_12695		Cytosolic protein	RefSeq:WP_010256310.1, SO:0001217, UniParc:UPI00016B2AE4, UniRef:UniRef100_A0A7U4DIW3, UniRef:UniRef50_Q9S050, UniRef:UniRef90_Q9S050
FMOGGM_04585	cds	1	432	+	GOIOJP_12700		hypothetical protein	SO:0001217, UniRef:UniRef50_G0ANT6, UniRef:UniRef90_A0A7W9ZP10
FMOGGM_04600	cds	1	768	+	GOIOJP_12705		Lyme disease proteins of unknown function	SO:0001217, UniRef:UniRef50_G5IXI8, UniRef:UniRef90_Q9S054
FMOGGM_04605	cds	1	237	+	GOIOJP_12710		DUF1322 domain-containing protein	RefSeq:WP_010883855.1, SO:0001217, UniParc:UPI00000576D0, UniRef:UniRef100_Q9S094, UniRef:UniRef50_A0A386PRG9, UniRef:UniRef90_Q0SLB7
FMOGGM_04610	cds	1	456	+	GOIOJP_12715		DUF1473 domain-containing protein	RefSeq:WP_010257808.1, SO:0001217, UniParc:UPI00000576CF, UniRef:UniRef100_Q9S095, UniRef:UniRef50_W6TF96, UniRef:UniRef90_Q9R373
FMOGGM_04740	cds	1	426	+	GOIOJP_12720		Mlp lipofamily protein	RefSeq:WP_106022926.1, SO:0001217, UniParc:UPI000D02A7EC, UniRef:UniRef100_UPI000D02A7EC, UniRef:UniRef50_H7C7P1, UniRef:UniRef90_A0A1L8Z973
FMOGGM_04780	cds	1	879	+	GOIOJP_12725		DUF276 domain-containing protein	RefSeq:WP_106055846.1, SO:0001217, UniParc:UPI000D02319C, UniRef:UniRef100_UPI000D02319C, UniRef:UniRef50_Q9S0C3, UniRef:UniRef90_Q9S0C3
FMOGGM_04800	cds	1	297	+	GOIOJP_12730		hypothetical protein	
FMOGGM_04810	cds	1	813	+	GOIOJP_12735		Lipoprotein	SO:0001217, UniRef:UniRef50_Q9R344, UniRef:UniRef90_Q44795
FMOGGM_04820	cds	1	348	+	GOIOJP_12740		ORF12/BlyB	RefSeq:WP_012621425.1, SO:0001217, UniParc:UPI00016B27C6, UniRef:UniRef100_UPI00016B27C6, UniRef:UniRef50_C0R8H9, UniRef:UniRef90_Q9L9N4
FMOGGM_04895	cds	1	1071	+	GOIOJP_12745		Erp26 protein	SO:0001217, UniRef:UniRef50_Q9S035, UniRef:UniRef90_UPI00017F40F8
FMOGGM_04955	cds	1	390	+	GOIOJP_12750	bppA	BppA	RefSeq:WP_012664874.1, SO:0001217, UniParc:UPI00017F3189, UniRef:UniRef100_UPI00017F3189, UniRef:UniRef50_A0A142JDP0, UniRef:UniRef90_Q9S098
FMOGGM_05005	cds	1	555	+	GOIOJP_12755		DUF777 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0H3C2J1, UniRef:UniRef90_A0A0H3C1A6
FMOGGM_05010	cds	1	330	+	GOIOJP_12760		DUF2634 domain-containing protein	SO:0001217, UniRef:UniRef50_Q9S047, UniRef:UniRef90_Q9S047
FMOGGM_05135	cds	1	615	+	GOIOJP_12765	mlpJ	Lipoprotein MlpJ	GO:0009279, RefSeq:WP_106022938.1, SO:0001217, UniParc:UPI000D026007, UniRef:UniRef100_UPI000D026007, UniRef:UniRef50_Q9RZZ0, UniRef:UniRef90_Q9RZZ0
FMOGGM_05140	cds	1	555	+	GOIOJP_12770		KID repeat protein	RefSeq:WP_010256368.1, SO:0001217, UniParc:UPI00017F36B6, UniRef:UniRef100_UPI00017F36B6, UniRef:UniRef50_B9X9K3, UniRef:UniRef90_A0A7U3YBC3
FMOGGM_05200	cds	1	1338	+	GOIOJP_12775		DUF759 domain-containing protein	RefSeq:WP_106023371.1, SO:0001217, UniParc:UPI000D048102, UniRef:UniRef100_UPI000D048102, UniRef:UniRef50_B9X9A3, UniRef:UniRef90_Q9S093
FMOGGM_05240	cds	1	573	+	GOIOJP_12780		DUF228 domain-containing protein	RefSeq:WP_015056658.1, SO:0001217, UniParc:UPI0001F23AA1, UniRef:UniRef100_A0A9N7G4K4, UniRef:UniRef50_A0A0H3BZR0, UniRef:UniRef90_A0A0H3C3B0
FMOGGM_05245	cds	1	765	+	GOIOJP_12785		DUF228 domain-containing protein	RefSeq:WP_231007071.1, SO:0001217, UniParc:UPI001E42F7F9, UniRef:UniRef100_UPI001E42F7F9, UniRef:UniRef50_G5IXI8, UniRef:UniRef90_A0A1L6VRG8
FMOGGM_05250	cds	1	558	+	GOIOJP_12790		Lyme disease proteins of unknown function	RefSeq:WP_002658736.1, SO:0001217, UniParc:UPI0000057637, UniRef:UniRef100_Q9R2Q0, UniRef:UniRef50_W5SXI4, UniRef:UniRef90_Q9R2Q0
FMOGGM_05255	cds	1	693	+	GOIOJP_12795		DUF1357 domain-containing protein	RefSeq:WP_002658634.1, SO:0001217, UniParc:UPI0000057636, UniRef:UniRef100_Q9R2Q2, UniRef:UniRef50_Q9S056, UniRef:UniRef90_Q9S056
FMOGGM_05260	cds	1	1227	+	GOIOJP_12800		DUF1073 domain-containing protein	COG:COG3567, COG:S, RefSeq:WP_012621259.1, SO:0001217, UniParc:UPI00016B2848, UniRef:UniRef100_A0A9N7B4W9, UniRef:UniRef50_Q9S0G7, UniRef:UniRef90_Q9S0G7
FMOGGM_05265	cds	1	1353	+	GOIOJP_12805	xtmB	PBSX family phage terminase large subunit	COG:COG1783, COG:X, RefSeq:WP_015056654.1, SO:0001217, UniParc:UPI0001F239CA, UniRef:UniRef100_A0A9N7ARN5, UniRef:UniRef50_B5RNS3, UniRef:UniRef90_A0A7I6GXS7
FMOGGM_05445	cds	1	180	+	GOIOJP_12810		(pseudo) DUF244 domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0021660F27, UniRef:UniRef90_UPI0021660F27
FMOGGM_05460	cds	1	390	+	GOIOJP_12815	yqaJ	(pseudo) YqaJ viral recombinase family protein	SO:0001217, UniRef:UniRef50_A0A806C3E5, UniRef:UniRef50_B9X9F0, UniRef:UniRef90_A0A806C6Y9
FMOGGM_05520	cds	1	348	+	GOIOJP_12820		Biotin--acetyl-CoA-carboxylase ligase	SO:0001217, UniRef:UniRef50_C0R8H9, UniRef:UniRef90_A0A1L8Z9L5
FMOGGM_05540	cds	1	876	+	GOIOJP_12825		DUF276 domain-containing protein	RefSeq:WP_106023617.1, SO:0001217, UniParc:UPI000D037D7A, UniRef:UniRef100_UPI000D037D7A, UniRef:UniRef50_Q9S0C3, UniRef:UniRef90_Q9S0C3
FMOGGM_05645	cds	1	567	+	GOIOJP_12830		hypothetical protein	RefSeq:WP_010883850.1, SO:0001217, UniParc:UPI00000576EB, UniRef:UniRef100_Q9S073, UniRef:UniRef90_Q9S073
FMOGGM_05670	cds	1	303	+	GOIOJP_12835		DUF735 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7W9ZML3, UniRef:UniRef90_G0ANM0
FMOGGM_05675	cds	1	813	+	GOIOJP_12840		Lipoprotein	RefSeq:WP_015056303.1, SO:0001217, UniParc:UPI0001F23A9C, UniRef:UniRef100_A0A9N7G3M6, UniRef:UniRef50_Q9R344, UniRef:UniRef90_Q44795
FMOGGM_05755	cds	1	426	+	GOIOJP_12845	bppB	BppB	RefSeq:WP_106022877.1, SO:0001217, UniParc:UPI000D033895, UniRef:UniRef100_UPI000D033895, UniRef:UniRef50_A0A386PNT1, UniRef:UniRef90_Q9RZY5
FMOGGM_05775	cds	1	351	+	GOIOJP_12850		DUF643 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A7U3YB62, UniRef:UniRef90_A0A7X0DQ40
FMOGGM_05780	cds	1	219	+	GOIOJP_12855		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A1L8Z9R0
FMOGGM_05785	cds	1	447	+	GOIOJP_12860		ORF32	SO:0001217, UniRef:UniRef50_A0A7W9ZLN5, UniRef:UniRef90_Q9L9M4
FMOGGM_05835	cds	1	1278	+	GOIOJP_12865		Uncharacterized protein family DUF, BBC12	SO:0001217, UniRef:UniRef50_G0AMZ3, UniRef:UniRef90_A0A7U4DIV9
FMOGGM_05840	cds	1	1128	+	GOIOJP_12870		BBC01	RefSeq:WP_198401262.1, SO:0001217, UniParc:UPI000BC2E071, UniRef:UniRef100_UPI000BC2E071, UniRef:UniRef50_A0A0H3C5E0, UniRef:UniRef90_O50966
FMOGGM_05845	cds	1	552	+	GOIOJP_12875		Plasmid partition protein	SO:0001217, UniRef:UniRef50_Q0SKX9
FMOGGM_05850	cds	1	561	+	GOIOJP_12880		chromosome replication/partitioning protein	RefSeq:WP_106017394.1, SO:0001217, UniParc:UPI000D023924, UniRef:UniRef100_UPI000D023924, UniRef:UniRef50_A0A7W9SKA7, UniRef:UniRef90_O50968
FMOGGM_05855	cds	1	909	+	GOIOJP_12885		BBC05	RefSeq:WP_106023369.1, SO:0001217, UniParc:UPI000D0257E3, UniRef:UniRef100_UPI000D0257E3, UniRef:UniRef50_A0A0H3C315, UniRef:UniRef90_O50970
FMOGGM_06090	cds	1	165	+	GOIOJP_12890		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001304D860, UniRef:UniRef90_UPI001304D860
FMOGGM_06160	cds	1	1185	+	GOIOJP_12895		Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain	COG:COG4748, COG:S, RefSeq:WP_002665626.1, SO:0001217, UniParc:UPI0000057634, UniRef:UniRef100_O51791, UniRef:UniRef50_A0A172XD44, UniRef:UniRef90_O51791
FMOGGM_06175	cds	1	711	+	GOIOJP_12900	cspZ	factor H-binding protein CspZ	BlastRules:WP_010890313, RefSeq:WP_014540433.1, SO:0001217, UniParc:UPI0001615A7E, UniRef:UniRef100_A9QVU7, UniRef:UniRef50_B8F113, UniRef:UniRef90_A9QVU5
FMOGGM_06855	cds	1	1398	+	GOIOJP_12905		hypothetical protein	SO:0001217, UniRef:UniRef50_Q0SLV8, UniRef:UniRef90_A0A806CL76
FMOGGM_06870	cds	1	423	+	GOIOJP_12910		Cytosolic protein	RefSeq:WP_010257097.1, SO:0001217, UniParc:UPI0000056928, UniRef:UniRef100_O50940, UniRef:UniRef50_Q0SLW1, UniRef:UniRef90_Q0SLW1
FMOGGM_06880	cds	1	540	+	GOIOJP_12915		DUF764 domain-containing protein	RefSeq:WP_010257727.1, SO:0001217, UniParc:UPI0000056926, UniRef:UniRef100_O50938, UniRef:UniRef50_O50938, UniRef:UniRef90_O50938
FMOGGM_06885	cds	1	318	+	GOIOJP_12920		Plasmid partition protein	RefSeq:WP_012622805.1, SO:0001217, UniParc:UPI00016B3A23, UniRef:UniRef100_UPI00016B3A23, UniRef:UniRef50_C0RC50, UniRef:UniRef90_A0A7U3YBP2
JFMAPC_04610	cds	1	960	+	GOIOJP_12925		Cytosolic protein	RefSeq:WP_010256824.1, SO:0001217, UniParc:UPI00016C4AB5, UniRef:UniRef100_UPI00016C4AB5, UniRef:UniRef50_Q9R2S3, UniRef:UniRef90_Q9R2S3
JFMAPC_04725	cds	1	567	+	GOIOJP_12930		Borrelia family protein	RefSeq:WP_010256773.1, SO:0001217, UniParc:UPI00017F2A26, UniRef:UniRef100_UPI00017F2A26, UniRef:UniRef50_O50730, UniRef:UniRef90_Q9S041
JFMAPC_04770	cds	1	1353	+	GOIOJP_12935	xtmB	PBSX family phage terminase large subunit	COG:COG1783, COG:X, RefSeq:WP_010257766.1, SO:0001217, UniParc:UPI00017F36CA, UniRef:UniRef100_UPI00017F36CA, UniRef:UniRef50_B5RNS3, UniRef:UniRef90_A0A7I6GXS7
JFMAPC_04780	cds	1	690	+	GOIOJP_12940		DUF1357 domain-containing protein	RefSeq:WP_010256809.1, SO:0001217, UniParc:UPI00017F2A2B, UniRef:UniRef100_UPI00017F2A2B, UniRef:UniRef50_Q9S056, UniRef:UniRef90_Q9S056
JFMAPC_04795	cds	1	546	+	GOIOJP_12945		chromosome replication/partitioning protein	RefSeq:WP_002658520.1, SO:0001217, UniParc:UPI0000057699, UniRef:UniRef100_O68236, UniRef:UniRef50_A0A7W9ZPB4, UniRef:UniRef90_O68236
JFMAPC_04895	cds	1	693	+	GOIOJP_12950		DUF1357 domain-containing protein	RefSeq:WP_010257861.1, SO:0001217, UniParc:UPI00017F37DC, UniRef:UniRef100_UPI00017F37DC, UniRef:UniRef50_Q9S056, UniRef:UniRef90_Q9S056
JFMAPC_04900	cds	1	1224	+	GOIOJP_12955		DUF1073 domain-containing protein	COG:COG3567, COG:S, RefSeq:WP_014540119.1, SO:0001217, UniParc:UPI0001F239FF, UniRef:UniRef100_UPI0001F239FF, UniRef:UniRef50_Q9S0G7, UniRef:UniRef90_Q9S0G7
JFMAPC_04905	cds	1	1200	+	GOIOJP_12960	xtmB	PBSX family phage terminase large subunit	COG:COG1783, COG:X, SO:0001217, UniRef:UniRef50_B5RNS3, UniRef:UniRef90_A0A7I6GXS7
JFMAPC_04975	cds	1	567	+	GOIOJP_12965		Borrelia family protein	RefSeq:WP_010257938.1, SO:0001217, UniParc:UPI0000057697, UniRef:UniRef100_G0ANC0, UniRef:UniRef50_O50730, UniRef:UniRef90_Q9S041
JFMAPC_04985	cds	1	543	+	GOIOJP_12970		ERF family protein	SO:0001217, UniRef:UniRef50_A0A7W9W3Y4, UniRef:UniRef90_UPI001E3CFB23
JFMAPC_04990	cds	1	429	+	GOIOJP_12975		Mlp family lipoprotein	RefSeq:WP_010258896.1, SO:0001217, UniParc:UPI00017F3148, UniRef:UniRef100_UPI00017F3148, UniRef:UniRef50_H7C7P1, UniRef:UniRef90_A0A1L6VUM9
JFMAPC_05095	cds	1	342	+	GOIOJP_12980		DUF1506 domain-containing protein	SO:0001217, UniRef:UniRef50_Q9R2M2, UniRef:UniRef90_Q9R2M2
JFMAPC_05100	cds	1	456	+	GOIOJP_12985		DUF3890 domain-containing protein	RefSeq:WP_010257876.1, SO:0001217, UniParc:UPI00017F37E1, UniRef:UniRef100_UPI00017F37E1, UniRef:UniRef50_Q9S053, UniRef:UniRef90_Q9S053
JFMAPC_05105	cds	1	960	+	GOIOJP_12990		Cytosolic protein	RefSeq:WP_010257873.1, SO:0001217, UniParc:UPI00017F37E0, UniRef:UniRef100_UPI00017F37E0, UniRef:UniRef50_A0A218PEQ7, UniRef:UniRef90_B8F0U3
JFMAPC_05160	cds	1	567	+	GOIOJP_12995		Phage protein	RefSeq:WP_010258622.1, SO:0001217, UniParc:UPI00017F2F09, UniRef:UniRef100_UPI00017F2F09, UniRef:UniRef50_B9X9H2, UniRef:UniRef90_A0A1L8Z8W1
JFMAPC_05165	cds	1	528	+	GOIOJP_13000		hypothetical protein	RefSeq:WP_010258620.1, SO:0001217, UniParc:UPI00016B2845, UniRef:UniRef100_A0A0H3C0R6, UniRef:UniRef90_A0A0H3C0R6
JFMAPC_05180	cds	1	777	+	GOIOJP_13005		Tyr recombinase domain-containing protein	RefSeq:WP_032488955.1, SO:0001217, UniParc:UPI00000BDB02, UniRef:UniRef100_Q44753, UniRef:UniRef50_C0R8V3, UniRef:UniRef90_O87304
JFMAPC_05490	cds	1	552	+	GOIOJP_13010		BBC02	RefSeq:WP_010258282.1, SO:0001217, UniParc:UPI00000BC383, UniRef:UniRef100_Q9EZI6, UniRef:UniRef90_A0A1L8Z8L2
COKIOA_04390	cds	1	570	+	GOIOJP_13015		DUF764 domain-containing protein	RefSeq:WP_012644123.1, SO:0001217, UniParc:UPI00016C4AB9, UniRef:UniRef100_UPI00016C4AB9, UniRef:UniRef50_Q9S052, UniRef:UniRef90_UPI00016C4AB9
COKIOA_04395	cds	1	1113	+	GOIOJP_13020		DUF787 domain-containing protein	RefSeq:WP_012644120.1, SO:0001217, UniParc:UPI00016C4ABA, UniRef:UniRef100_UPI00016C4ABA, UniRef:UniRef50_Q0SLB3, UniRef:UniRef90_UPI001E285613
COKIOA_04590	cds	1	1284	+	GOIOJP_13025		DUF759 domain-containing protein	RefSeq:WP_012686613.1, SO:0001217, UniParc:UPI00017F41C0, UniRef:UniRef100_UPI00017F41C0, UniRef:UniRef50_Q0SLB8, UniRef:UniRef90_UPI000D08E4AD
COKIOA_04770	cds	1	378	+	GOIOJP_13030		hypothetical protein	
COKIOA_04790	cds	1	354	+	GOIOJP_13035		Outer membrane protein	RefSeq:WP_012593054.1, SO:0001217, UniParc:UPI00016B37AD, UniRef:UniRef100_A0A0H3C2C9, UniRef:UniRef50_C0R8I1, UniRef:UniRef90_A0A1L6VUQ8
COKIOA_04920	cds	1	795	+	GOIOJP_13040		Putative phage integrase	RefSeq:WP_010258019.1, SO:0001217, UniParc:UPI00016B3CE5, UniRef:UniRef100_A0A7U3YAS5, UniRef:UniRef50_C0R8V3, UniRef:UniRef90_Q66Z73
COKIOA_04945	cds	1	567	+	GOIOJP_13045		Phage protein	RefSeq:WP_012686685.1, SO:0001217, UniParc:UPI00017F4870, UniRef:UniRef100_UPI00017F4870, UniRef:UniRef50_B9X9H2, UniRef:UniRef90_A0A1L8Z8W1
COKIOA_04950	cds	1	648	+	GOIOJP_13050		phage terminase large subunit	SO:0001217, UniRef:UniRef50_W6TH22, UniRef:UniRef90_UPI000D032AE3
COKIOA_04955	cds	1	594	+	GOIOJP_13055		terminase large subunit	SO:0001217, UniRef:UniRef50_I0FEN3, UniRef:UniRef90_UPI001E3B6673
COKIOA_04970	cds	1	564	+	GOIOJP_13060		DUF228 domain-containing protein	RefSeq:WP_012686695.1, SO:0001217, UniParc:UPI00019941F0, UniRef:UniRef100_UPI00019941F0, UniRef:UniRef50_W5SXI4, UniRef:UniRef90_Q9S055
COKIOA_05070	cds	1	549	+	GOIOJP_13065		DUF1640 domain-containing protein	RefSeq:WP_012644880.1, SO:0001217, UniParc:UPI00016B2F5B, UniRef:UniRef100_A0A7U4DIX5, UniRef:UniRef50_A0A1L8Z9D3, UniRef:UniRef90_A0A1L6VRE0
COKIOA_05080	cds	1	462	+	GOIOJP_13070		ORF25	SO:0001217, UniRef:UniRef50_O87303, UniRef:UniRef90_O87303
COKIOA_05270	cds	1	576	+	GOIOJP_13075		DUF228 domain-containing protein	RefSeq:WP_012686647.1, SO:0001217, UniParc:UPI00017F475F, UniRef:UniRef100_UPI00017F475F, UniRef:UniRef50_W5SXI4, UniRef:UniRef90_UPI00017F475F
COKIOA_05280	cds	1	456	+	GOIOJP_13080		DUF3890 domain-containing protein	RefSeq:WP_012686653.1, SO:0001217, UniParc:UPI00017F475D, UniRef:UniRef100_UPI00017F475D, UniRef:UniRef50_Q9S053, UniRef:UniRef90_Q9S053
COKIOA_05285	cds	1	384	+	GOIOJP_13085		DUF1506 domain-containing protein	RefSeq:WP_012686645.1, SO:0001217, UniParc:UPI00017F475C, UniRef:UniRef100_UPI00017F475C, UniRef:UniRef50_Q9R2M2, UniRef:UniRef90_Q9R384
COKIOA_05455	cds	1	951	+	GOIOJP_13090		Erf family protein	RefSeq:WP_012686571.1, SO:0001217, UniParc:UPI00017F3D61, UniRef:UniRef100_UPI00017F3D61, UniRef:UniRef50_A0A0H3C315, UniRef:UniRef90_A0A7W9ZEJ7
COKIOA_06100	cds	1	1134	+	GOIOJP_13095		Transposase	KEGG:K07496, RefSeq:WP_012622444.1, SO:0001217, UniParc:UPI00016B34CD, UniRef:UniRef100_A0A7U3YAZ4, UniRef:UniRef50_Q09GR9, UniRef:UniRef90_Q09GR9
COKIOA_06105	cds	1	1104	+	GOIOJP_13100		Plasmid partition protein	RefSeq:WP_012622461.1, SO:0001217, UniParc:UPI00016B34CE, UniRef:UniRef100_A0A7U3YAZ1, UniRef:UniRef50_A0A7U3YAZ1, UniRef:UniRef90_A0A7U3YAZ1
COKIOA_06110	cds	1	570	+	GOIOJP_13105		Plasmid partitioning associated protein-1	RefSeq:WP_100215635.1, SO:0001217, UniParc:UPI000A8CCAD5, UniRef:UniRef100_A0A7U3YAZ6, UniRef:UniRef50_A0A7U3YAZ6, UniRef:UniRef90_A0A7U3YAZ6
COKIOA_06115	cds	1	738	+	GOIOJP_13110		PF-32 protein	RefSeq:WP_012622446.1, SO:0001217, UniParc:UPI00016B34D0, UniRef:UniRef100_A0A7U3YAZ9, UniRef:UniRef50_A0A9N7B9Y6, UniRef:UniRef90_A0A9N7B9Y6
COKIOA_06120	cds	1	600	+	GOIOJP_13115		chromosome replication/partitioning protein	RefSeq:WP_012622456.1, SO:0001217, UniParc:UPI00016B34D1, UniRef:UniRef100_A0A7U4DIS7, UniRef:UniRef50_A0A7U4DIS7, UniRef:UniRef90_A0A7U4DIS7
COKIOA_06130	cds	1	936	+	GOIOJP_13120	dcm	Cytosine-specific methyltransferase	RefSeq:WP_012622459.1, SO:0001217, UniParc:UPI00016B34D3, UniRef:UniRef100_A0A7U3YB22, UniRef:UniRef50_U6B4I1, UniRef:UniRef90_A0A7U3YB22
COKIOA_06135	cds	1	735	+	GOIOJP_13125		MvaI/BcnI restriction endonuclease domain-containing protein	RefSeq:WP_012622449.1, SO:0001217, UniParc:UPI00016B34D4, UniRef:UniRef100_A0A7U4DIT6, UniRef:UniRef50_A0A5C8GC53, UniRef:UniRef90_A0A7U4DIT6
KCCJIL_04345	cds	1	1038	+	GOIOJP_13130		Lipoprotein	RefSeq:WP_012593125.1, SO:0001217, UniParc:UPI00016C43B1, UniRef:UniRef100_A0A7U3YBA4, UniRef:UniRef50_A0A7W9SJL3, UniRef:UniRef90_A0A7W9SJL3
