#Annotated with Bakta v1.8.2, https://github.com/oschwengers/bakta
#Database v5.1, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
BKJAFL_06330	1	522	+	GOIOJP_12600	19.4	9.3		SO:0001217, UniRef:UniRef50_A0A7D7WIM1, UniRef:UniRef90_UPI001E31BD71
FMOGGM_04420	1	528	+	GOIOJP_12675	20.8	9.1		RefSeq:WP_012621486.1, SO:0001217, UniParc:UPI00016B2C5B, UniRef:UniRef100_A0A9N7ARY7, UniRef:UniRef90_A0A0H3C0R6
FMOGGM_04585	1	432	+	GOIOJP_12700	16.1	5.6		SO:0001217, UniRef:UniRef50_G0ANT6, UniRef:UniRef90_A0A7W9ZP10
FMOGGM_04800	1	297	+	GOIOJP_12730	10.8	4.5		
FMOGGM_05645	1	567	+	GOIOJP_12830	21.8	8.8		RefSeq:WP_010883850.1, SO:0001217, UniParc:UPI00000576EB, UniRef:UniRef100_Q9S073, UniRef:UniRef90_Q9S073
FMOGGM_05780	1	219	+	GOIOJP_12855	8.6	6.5		SO:0001217, UniRef:UniRef50_A0A1L8Z9R0
FMOGGM_06090	1	165	+	GOIOJP_12890	5.2	11.1		SO:0001217, UniRef:UniRef50_UPI001304D860, UniRef:UniRef90_UPI001304D860
FMOGGM_06855	1	1398	+	GOIOJP_12905	52.7	7.0		SO:0001217, UniRef:UniRef50_Q0SLV8, UniRef:UniRef90_A0A806CL76
JFMAPC_05165	1	528	+	GOIOJP_13000	20.7	9.1		RefSeq:WP_010258620.1, SO:0001217, UniParc:UPI00016B2845, UniRef:UniRef100_A0A0H3C0R6, UniRef:UniRef90_A0A0H3C0R6
COKIOA_04770	1	378	+	GOIOJP_13030	14.3	8.9		
KCCJIL_04600	1	384	+	GOIOJP_13140	14.9	4.5		
KCCJIL_05330	1	321	+	GOIOJP_13210	12.0	6.1		SO:0001217, UniRef:UniRef50_A0A7U3YBB2
PAJOAE_04630	1	480	+	GOIOJP_13375	17.8	5.3		SO:0001217, UniRef:UniRef50_G0ANT6
OLCIOJ_01725	10	810	+	GOIOJP_13515	30.8	5.8		
OLCIOJ_03795	1	822	+	GOIOJP_13525	32.0	8.7		
OLCIOJ_03985	1	513	+	GOIOJP_13530	20.5	9.4		SO:0001217, UniRef:UniRef50_W5SYR3
OLCIOJ_06575	1	648	+	GOIOJP_13595	24.8	6.2		SO:0001217, UniRef:UniRef50_A0A1L8Z9G4
OLCIOJ_07185	1	381	+	GOIOJP_13655	14.9	4.2		
CILHBO_04295	1	696	+	GOIOJP_13660	27.6	8.8	PF16684.9|Telomere_res	PFAM:PF16684.9
CILHBO_05925	1	432	+	GOIOJP_13720	15.6	8.7		
IALKGH_03850	1	783	+	GOIOJP_13790	29.8	5.6		SO:0001217, UniRef:UniRef50_A0A0H3C5I5, UniRef:UniRef90_UPI00017F3FC9
IALKGH_04825	1	591	+	GOIOJP_13905	24.1	10.0		
IALKGH_05310	1	246	+	GOIOJP_14115	8.6	8.4		SO:0001217, UniRef:UniRef50_UPI001E2A9453
IALKGH_05330	1	519	+	GOIOJP_14120	20.3	9.2		RefSeq:WP_012593060.1, SO:0001217, UniParc:UPI00017F48F3, UniRef:UniRef100_A0A0H3C438, UniRef:UniRef90_A0A0H3C438
IALKGH_05585	1	336	+	GOIOJP_14200	12.6	9.8		RefSeq:WP_106039923.1, SO:0001217, UniParc:UPI000D03315C, UniRef:UniRef100_UPI000D03315C, UniRef:UniRef50_O50801, UniRef:UniRef90_O50801
IALKGH_05750	1	345	+	GOIOJP_14260	13.3	6.3		RefSeq:WP_044002491.1, SO:0001217, UniParc:UPI00016B3685, UniRef:UniRef100_UPI00016B3685, UniRef:UniRef50_UPI001E473841, UniRef:UniRef90_UPI001E5C15B8
IALKGH_05925	1	627	+	GOIOJP_14335	23.6	7.6		SO:0001217, UniRef:UniRef50_A0A1L8Z9G4
IALKGH_06045	1	588	+	GOIOJP_14390	23.3	4.7		
IALKGH_06125	1	498	+	GOIOJP_14455	18.6	5.6		SO:0001217, UniRef:UniRef50_G0ANT6, UniRef:UniRef90_A0A7W9ZP10
IALKGH_06130	1	498	+	GOIOJP_14460	18.5	5.1		SO:0001217, UniRef:UniRef50_G0ANT6, UniRef:UniRef90_A0A7W9ZP10
IALKGH_06225	1	324	+	GOIOJP_14505	12.5	4.6		SO:0001217, UniRef:UniRef50_C0R8Z5
IALKGH_06240	1	246	+	GOIOJP_14510	8.6	8.8		SO:0001217, UniRef:UniRef50_UPI001E2A9453
IALKGH_06255	1	261	+	GOIOJP_14515	9.9	8.0		
NPBIJB_04450	1	339	+	GOIOJP_14595	13.1	4.7		RefSeq:WP_012666083.1, SO:0001217, UniParc:UPI00017F3867, UniRef:UniRef100_UPI00017F3867, UniRef:UniRef50_O50739, UniRef:UniRef90_O50739
NPBIJB_04455	1	834	+	GOIOJP_14600	31.4	6.4		RefSeq:WP_012686317.1, SO:0001217, UniParc:UPI00017F3FC5, UniRef:UniRef100_UPI00017F3FC5, UniRef:UniRef50_O50740, UniRef:UniRef90_O50740
NPBIJB_04490	1	783	+	GOIOJP_14620	29.9	7.6		SO:0001217, UniRef:UniRef50_A0A0H3C5I5, UniRef:UniRef90_UPI00017F3FC9
NPBIJB_04505	1	372	+	GOIOJP_14630	13.9	8.5		RefSeq:WP_012622701.1, SO:0001217, UniParc:UPI00016B3782, UniRef:UniRef100_A0A7U4DIU8, UniRef:UniRef50_O50749, UniRef:UniRef90_A0A1L8ZA88
NPBIJB_04515	1	414	+	GOIOJP_14635	16.1	9.3		RefSeq:WP_012622693.1, SO:0001217, UniParc:UPI00017F42BB, UniRef:UniRef100_A0A7U4DIU7, UniRef:UniRef50_O50751, UniRef:UniRef90_A0A1L8ZA81
NPBIJB_04540	1	765	+	GOIOJP_14660	29.2	9.8		SO:0001217, UniRef:UniRef50_O50757, UniRef:UniRef90_O50757
NPBIJB_05030	1	513	+	GOIOJP_14680	20.1	5.6		
NPBIJB_05355	1	285	+	GOIOJP_14695	10.9	9.0	PF05714.15|PFam54_60	PFAM:PF05714.15
NPBIJB_05380	1	276	+	GOIOJP_14705	10.4	9.9		RefSeq:WP_231010827.1, SO:0001217, UniParc:UPI0002E4A0A4, UniRef:UniRef100_UPI0002E4A0A4, UniRef:UniRef50_O50768, UniRef:UniRef90_O50768
NPBIJB_05820	1	684	+	GOIOJP_14765	26.7	9.3		RefSeq:WP_010257654.1, SO:0001217, UniParc:UPI00017F34C2, UniRef:UniRef100_UPI00017F34C2, UniRef:UniRef50_C0R8X6, UniRef:UniRef90_UPI00017F34C2
NPBIJB_05840	1	354	+	GOIOJP_14770	14.1	9.5		RefSeq:WP_010257646.1, SO:0001217, UniParc:UPI00017F34BF, UniRef:UniRef100_UPI00017F34BF, UniRef:UniRef50_Q44728, UniRef:UniRef90_UPI001E40A269
NPBIJB_06235	1	531	+	GOIOJP_14835	20.6	8.8		
NPBIJB_06395	1	288	+	GOIOJP_14880	11.2	10.0		RefSeq:WP_012622462.1, SO:0001217, UniParc:UPI00016B34D8, UniRef:UniRef100_A0A7U4DIN4, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
NPBIJB_06410	1	687	+	GOIOJP_14890	26.8	6.2		SO:0001217, UniRef:UniRef50_A0A1L8ZAA5, UniRef:UniRef90_A0A1L8ZAA5
NPBIJB_06485	1	414	+	GOIOJP_14915	16.0	5.4		SO:0001217, UniRef:UniRef50_B8F1B9
NPBIJB_06495	1	324	+	GOIOJP_14920	12.5	4.6		SO:0001217, UniRef:UniRef50_C0R8Z5
NPBIJB_06515	1	384	+	GOIOJP_14930	14.9	4.5		
NPBIJB_06525	1	810	+	GOIOJP_14940	29.7	8.5		SO:0001217, UniRef:UniRef50_A0A7M4BKS8
HFKOMI_05075	1	288	+	GOIOJP_15025	11.2	10.0		RefSeq:WP_012622462.1, SO:0001217, UniParc:UPI00016B34D8, UniRef:UniRef100_A0A7U4DIN4, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
HFKOMI_05985	1	528	+	GOIOJP_15155	20.8	9.1		RefSeq:WP_012621486.1, SO:0001217, UniParc:UPI00016B2C5B, UniRef:UniRef100_A0A9N7ARY7, UniRef:UniRef90_A0A0H3C0R6
HFKOMI_06205	1	645	+	GOIOJP_15225	21.4	9.0		
HFKOMI_06400	1	498	+	GOIOJP_15295	18.6	5.6		SO:0001217, UniRef:UniRef50_G0ANT6, UniRef:UniRef90_A0A7W9ZP10
HFKOMI_06420	1	282	+	GOIOJP_15310	10.9	9.5		SO:0001217, UniRef:UniRef50_C0R8F1
AJAACK_04900	1	276	+	GOIOJP_15355	10.7	6.1		RefSeq:WP_010258413.1, SO:0001217, UniParc:UPI00016B3647, UniRef:UniRef100_O50813, UniRef:UniRef50_O50813, UniRef:UniRef90_O50813
AJAACK_05820	1	264	+	GOIOJP_15465	8.5	4.3		
AJAACK_06280	1	414	+	GOIOJP_15560	16.1	9.3		RefSeq:WP_012622693.1, SO:0001217, UniParc:UPI00017F42BB, UniRef:UniRef100_A0A7U4DIU7, UniRef:UniRef50_O50751, UniRef:UniRef90_A0A1L8ZA81
AJAACK_06400	1	765	+	GOIOJP_15595	29.2	9.8		RefSeq:WP_010890304.1, SO:0001217, UniParc:UPI000005686E, UniRef:UniRef100_O50757, UniRef:UniRef50_O50757, UniRef:UniRef90_O50757
AJAACK_06420	1	348	+	GOIOJP_15605	12.8	6.4		
AJAACK_06435	1	741	+	GOIOJP_15610	28.4	9.9	PF03481.17|Sua5_C	PFAM:PF03481.17
AJAACK_06445	1	258	+	GOIOJP_15615	8.5	9.8		
AJAACK_06450	1	258	+	GOIOJP_15620	8.5	9.8		
AJAACK_06475	1	294	+	GOIOJP_15625	11.6	9.6		RefSeq:WP_010883902.1, SO:0001217, UniParc:UPI0000057722, UniRef:UniRef100_H7C642, UniRef:UniRef50_H7C642, UniRef:UniRef90_H7C642
AJAACK_06490	1	432	+	GOIOJP_15635	16.0	5.7		SO:0001217, UniRef:UniRef50_G0ANT6
AJAACK_06535	1	240	+	GOIOJP_15655	9.2	8.9	PF05714.15|PFam54_60	PFAM:PF05714.15
AJAACK_06545	1	297	+	GOIOJP_15660	10.6	5.5		
DOJFBC_05800	1	921	+	GOIOJP_15695	33.9	9.2		SO:0001217, UniRef:UniRef50_A0A7W9ZN01
DOJFBC_05985	1	534	+	GOIOJP_15735	20.3	8.4		
DOJFBC_06160	1	255	+	GOIOJP_15805	9.3	4.6		
DOJFBC_06235	1	444	+	GOIOJP_15825	16.6	6.7		RefSeq:WP_010256673.1, SO:0001217, UniParc:UPI000005685A, UniRef:UniRef100_O50737, UniRef:UniRef50_O50737, UniRef:UniRef90_O50737
DOJFBC_06240	1	738	+	GOIOJP_15830	28.0	6.4		SO:0001217, UniRef:UniRef50_O50740, UniRef:UniRef90_O50740
DOJFBC_06245	1	339	+	GOIOJP_15835	13.2	4.7		RefSeq:WP_010259656.1, SO:0001217, UniParc:UPI000005685C, UniRef:UniRef100_O50739, UniRef:UniRef50_O50739, UniRef:UniRef90_O50739
DOJFBC_06295	1	255	+	GOIOJP_15860	10.0	4.8		SO:0001217, UniRef:UniRef50_G0ANT8
DOJFBC_06340	1	396	+	GOIOJP_15880	15.8	8.9		
DOJFBC_06355	1	534	+	GOIOJP_15890	19.5	5.1		SO:0001217, UniRef:UniRef50_UPI000D0475BA, UniRef:UniRef90_UPI001E32276F
DOJFBC_06400	1	327	+	GOIOJP_15910	12.6	4.4		SO:0001217, UniRef:UniRef50_C0R8Z5
DOJFBC_06405	1	240	+	GOIOJP_15915	9.0	9.0	PF02524.18|KID	PFAM:PF02524.18
HCFOCN_05220	1	285	+	GOIOJP_15970	11.1	7.9		RefSeq:WP_012666127.1, SO:0001217, UniParc:UPI000195E104, UniRef:UniRef100_UPI000195E104, UniRef:UniRef50_UPI000195E104, UniRef:UniRef90_UPI000195E104
HCFOCN_05225	1	246	+	GOIOJP_15975	9.7	9.8		
HCFOCN_05230	1	390	+	GOIOJP_15980	15.4	9.7		RefSeq:WP_012666137.1, SO:0001217, UniParc:UPI00017F3856, UniRef:UniRef100_UPI00017F3856, UniRef:UniRef50_A0A806C708, UniRef:UniRef90_UPI00017F3856
HCFOCN_05240	1	333	+	GOIOJP_15985	13.1	9.3		
HCFOCN_05250	1	225	+	GOIOJP_15990	8.6	8.8		RefSeq:WP_233186164.1, SO:0001217, UniParc:UPI001E61FD95, UniRef:UniRef100_UPI001E3B9490, UniRef:UniRef50_UPI001E3B9490, UniRef:UniRef90_UPI001E3B9490
HCFOCN_05575	1	834	+	GOIOJP_16025	31.4	6.3		RefSeq:WP_106023044.1, SO:0001217, UniParc:UPI000D040685, UniRef:UniRef100_UPI000D040685, UniRef:UniRef50_O50740, UniRef:UniRef90_O50740
HCFOCN_06200	1	765	+	GOIOJP_16100	29.8	9.9		RefSeq:WP_012622455.1, SO:0001217, UniParc:UPI00016B3378, UniRef:UniRef100_A0A7U3YB08, UniRef:UniRef50_O50757, UniRef:UniRef90_A0A0H3C5A6
HCFOCN_06470	1	321	+	GOIOJP_16185	12.0	6.1		SO:0001217, UniRef:UniRef50_A0A7U3YBB2
HCFOCN_06490	1	543	+	GOIOJP_16190	20.5	8.6		SO:0001217, UniRef:UniRef50_A0A1L8Z9G4
HCFOCN_06535	1	303	+	GOIOJP_16210	12.2	5.5		
HCFOCN_06550	1	267	+	GOIOJP_16220	9.8	6.2	PF02524.18|KID	PFAM:PF02524.18
EJHJAG_05470	1	795	+	GOIOJP_16340	26.1	5.6		
EJHJAG_05930	1	303	+	GOIOJP_16375	11.6	10.0		
EJHJAG_06180	1	471	+	GOIOJP_16425	18.1	6.1	PF02524.18|KID	PFAM:PF02524.18, RefSeq:WP_012644103.1, SO:0001217, UniParc:UPI00016C3C36, UniRef:UniRef100_A0A7U4DIU5, UniRef:UniRef50_G0ISZ1, UniRef:UniRef90_A0A7U4DIU5
EJHJAG_06295	1	321	+	GOIOJP_16455	12.7	9.5		
EJHJAG_06410	1	324	+	GOIOJP_16490	12.4	4.5		SO:0001217, UniRef:UniRef50_C0R8Z5
EJHJAG_06420	1	474	+	GOIOJP_16500	17.2	5.6		
EJHJAG_06430	1	474	+	GOIOJP_16505	17.2	5.3		
EJHJAG_06460	1	405	+	GOIOJP_16515	15.0	10.1	PF03796.19|DnaB_C	PFAM:PF03796.19
EJHJAG_06470	1	411	+	GOIOJP_16520	15.6	5.7		SO:0001217, UniRef:UniRef50_B9X9K7
EJHJAG_06490	1	348	+	GOIOJP_16530	12.5	4.7		SO:0001217, UniRef:UniRef50_A0A806C3F4
FCDKFA_05640	1	519	+	GOIOJP_16595	20.3	9.2		RefSeq:WP_012593060.1, SO:0001217, UniParc:UPI00017F48F3, UniRef:UniRef100_A0A0H3C438, UniRef:UniRef90_A0A0H3C438
FCDKFA_05675	1	381	+	GOIOJP_16600	14.5	6.7		SO:0001217, UniRef:UniRef50_C0R9C5
FCDKFA_05840	1	279	+	GOIOJP_16620	10.7	4.5		
FCDKFA_06285	1	588	+	GOIOJP_16725	23.3	4.7		
FCDKFA_06460	1	222	+	GOIOJP_16800	8.6	10.0		RefSeq:WP_044283637.1, SO:0001217, UniParc:UPI000307489A, UniRef:UniRef100_UPI000307489A, UniRef:UniRef50_UPI000307489A, UniRef:UniRef90_UPI000307489A
FCDKFA_06575	1	561	+	GOIOJP_16850	21.2	4.5	PF00268.25|Ribonuc_red_sm	PFAM:PF00268.25
FCDKFA_06585	1	264	+	GOIOJP_16855	9.2	5.0		
FCDKFA_06595	1	252	+	GOIOJP_16865	9.2	4.4		
FCDKFA_06600	1	300	+	GOIOJP_16870	11.3	7.0		
FCDKFA_06615	1	477	+	GOIOJP_16875	17.9	6.7		
FCDKFA_06640	1	303	+	GOIOJP_16890	11.4	6.6	PF13392.10|HNH_3	PFAM:PF13392.10
FCDKFA_06645	1	294	+	GOIOJP_16895	11.2	5.1		
FCDKFA_06660	1	333	+	GOIOJP_16905	12.5	9.7		
FCDKFA_06665	1	396	+	GOIOJP_16910	15.1	5.9		
FCDKFA_06670	1	345	+	GOIOJP_16915	13.6	5.1		
FCDKFA_06680	1	381	+	GOIOJP_16920	14.4	4.8		
FCDKFA_06715	1	282	+	GOIOJP_16935	11.1	4.6	PF12008.12|EcoR124_C	PFAM:PF12008.12
FCDKFA_06725	55	297	+	GOIOJP_16940	9.2	9.2		SO:0001217, UniRef:UniRef50_A0A806CJU1
FCDKFA_06735	1	336	+	GOIOJP_16945	12.7	6.3		
JJIDCK_04595	1	336	+	GOIOJP_16950	12.7	9.4		
JJIDCK_06345	1	327	+	GOIOJP_17065	12.6	4.5		SO:0001217, UniRef:UniRef50_C0R8Z5
JJIDCK_06350	1	498	+	GOIOJP_17070	18.6	5.6		SO:0001217, UniRef:UniRef50_G0ANT6, UniRef:UniRef90_A0A7W9ZP10
JJIDCK_06400	1	174	+	GOIOJP_17075	5.7	10.7		SO:0001217, UniRef:UniRef50_UPI001304D860
KAKDDC_05345	1	417	+	GOIOJP_17120	15.1	5.6		SO:0001217, UniRef:UniRef50_UPI000D0475BA, UniRef:UniRef90_UPI001E32276F
KAKDDC_05370	1	219	+	GOIOJP_17125	7.7	9.5		
KAKDDC_05430	1	417	+	GOIOJP_17145	15.1	5.6		SO:0001217, UniRef:UniRef50_UPI000D0475BA, UniRef:UniRef90_UPI001E32276F
KAKDDC_05525	1	294	+	GOIOJP_17160	11.6	9.6		RefSeq:WP_010883902.1, SO:0001217, UniParc:UPI0000057722, UniRef:UniRef100_H7C642, UniRef:UniRef50_H7C642, UniRef:UniRef90_H7C642
KAKDDC_05845	1	1587	+	GOIOJP_17200	60.8	5.3		
KAKDDC_06055	1	528	+	GOIOJP_17230	20.7	9.1		RefSeq:WP_010258620.1, SO:0001217, UniParc:UPI00016B2845, UniRef:UniRef100_A0A0H3C0R6, UniRef:UniRef90_A0A0H3C0R6
KAKDDC_06170	1	447	+	GOIOJP_17260	17.7	9.1		
KAKDDC_06200	1	390	+	GOIOJP_17265	14.5	5.1		SO:0001217, UniRef:UniRef50_G0ANT6, UniRef:UniRef90_G0ANT6
KAKDDC_06495	1	510	+	GOIOJP_17335	19.6	9.3	PF05714.15|PFam54_60	PFAM:PF05714.15, SO:0001217, UniRef:UniRef50_A0A7I6GXW3, UniRef:UniRef90_A0A7M4BL07
KAKDDC_06530	1	480	+	GOIOJP_17350	19.7	9.1		
KAKDDC_06540	1	399	+	GOIOJP_17355	15.7	5.6	PF05714.15|PFam54_60	PFAM:PF05714.15
KAKDDC_06555	1	288	+	GOIOJP_17370	11.2	10.0		RefSeq:WP_012622462.1, SO:0001217, UniParc:UPI00016B34D8, UniRef:UniRef100_A0A7U4DIN4, UniRef:UniRef50_A0A7U4DIN4, UniRef:UniRef90_A0A7U4DIN4
KAKDDC_06595	1	276	+	GOIOJP_17380	10.7	6.2		
PFFDBF_04665	1	780	+	GOIOJP_17405	29.9	6.1		RefSeq:WP_231007045.1, SO:0001217, UniParc:UPI001E307A37, UniRef:UniRef100_UPI001E307A37, UniRef:UniRef50_A0A1L8ZA75, UniRef:UniRef90_UPI00017F2C3E
PFFDBF_06120	1	447	+	GOIOJP_17500	17.8	9.2		
PFFDBF_06405	19	264	+	GOIOJP_17600	9.3	8.0		
DPFACI_04885	1	444	+	GOIOJP_17625	16.6	6.7		RefSeq:WP_010256673.1, SO:0001217, UniParc:UPI000005685A, UniRef:UniRef100_O50737, UniRef:UniRef50_O50737, UniRef:UniRef90_O50737
DPFACI_05890	1	528	+	GOIOJP_17720	20.8	9.1		RefSeq:WP_012621486.1, SO:0001217, UniParc:UPI00016B2C5B, UniRef:UniRef100_A0A9N7ARY7, UniRef:UniRef90_A0A0H3C0R6
DPFACI_06270	1	327	+	GOIOJP_17785	12.6	4.5		SO:0001217, UniRef:UniRef50_C0R8Z5
DPFACI_06310	1	324	+	GOIOJP_17805	12.5	4.6		SO:0001217, UniRef:UniRef50_C0R8Z5
GEBMJB_06320	1	276	+	GOIOJP_17920	10.4	9.9		RefSeq:WP_231010827.1, SO:0001217, UniParc:UPI0002E4A0A4, UniRef:UniRef100_UPI0002E4A0A4, UniRef:UniRef50_O50768, UniRef:UniRef90_O50768
GEBMJB_06350	1	306	+	GOIOJP_17930	11.7	8.9		
GEBMJB_06400	1	237	+	GOIOJP_17945	9.0	9.8		
ECLNOL_05760	1	546	+	GOIOJP_17965	21.5	5.6		
ECLNOL_05870	1	285	+	GOIOJP_17985	10.9	9.2	PF05714.15|PFam54_60	PFAM:PF05714.15
ECLNOL_06410	1	246	+	GOIOJP_18065	9.1	9.0	PF02524.18|KID	PFAM:PF02524.18
ECLNOL_06570	1	282	+	GOIOJP_18100	10.9	9.5		SO:0001217, UniRef:UniRef50_C0R8F1
ECLNOL_06625	1	219	+	GOIOJP_18105	8.6	6.5		SO:0001217, UniRef:UniRef50_A0A1L8Z9R0
JHFDLE_04455	1	444	+	GOIOJP_18155	16.6	6.7		RefSeq:WP_010256673.1, SO:0001217, UniParc:UPI000005685A, UniRef:UniRef100_O50737, UniRef:UniRef50_O50737, UniRef:UniRef90_O50737
JHFDLE_04465	1	339	+	GOIOJP_18165	13.1	5.0		RefSeq:WP_010256666.1, SO:0001217, UniParc:UPI00017F38EE, UniRef:UniRef100_UPI00017F38EE, UniRef:UniRef50_O50739, UniRef:UniRef90_O50739
JHFDLE_04470	1	834	+	GOIOJP_18170	31.4	6.4		RefSeq:WP_010256663.1, SO:0001217, UniParc:UPI00017F38ED, UniRef:UniRef100_UPI00017F38ED, UniRef:UniRef50_O50740, UniRef:UniRef90_O50740
JHFDLE_04500	1	798	+	GOIOJP_18190	30.4	8.2		
JHFDLE_04520	1	375	+	GOIOJP_18195	14.0	5.6		RefSeq:WP_010256627.1, SO:0001217, UniParc:UPI0000056866, UniRef:UniRef100_O50749, UniRef:UniRef50_O50749, UniRef:UniRef90_O50749
JHFDLE_04530	1	387	+	GOIOJP_18200	14.9	9.2		RefSeq:WP_010256620.1, SO:0001217, UniParc:UPI0000056868, UniRef:UniRef100_O50751, UniRef:UniRef50_O50751, UniRef:UniRef90_O50751
JHFDLE_05495	1	387	+	GOIOJP_18270	15.2	7.8		
JHFDLE_05640	1	366	+	GOIOJP_18275	14.3	8.8		RefSeq:WP_010256460.1, SO:0001217, UniParc:UPI00017F37C6, UniRef:UniRef100_UPI00017F37C6, UniRef:UniRef50_UPI001E473841, UniRef:UniRef90_UPI00017F37C6
JHFDLE_06345	1	249	+	GOIOJP_18340	9.4	6.1		
JHFDLE_06460	1	249	+	GOIOJP_18370	9.1	10.2		
JHFDLE_06465	1	534	+	GOIOJP_18375	19.4	5.2		SO:0001217, UniRef:UniRef50_UPI000D0475BA, UniRef:UniRef90_UPI001E32276F
JHFDLE_06480	1	183	+	GOIOJP_18385	7.1	9.2		
PMFBGN_05540	1	417	+	GOIOJP_18470	15.1	5.6		SO:0001217, UniRef:UniRef50_UPI000D0475BA, UniRef:UniRef90_UPI001E32276F
PMFBGN_06125	1	528	+	GOIOJP_18525	20.7	9.1		RefSeq:WP_010258620.1, SO:0001217, UniParc:UPI00016B2845, UniRef:UniRef100_A0A0H3C0R6, UniRef:UniRef90_A0A0H3C0R6
PMFBGN_06585	1	543	+	GOIOJP_18575	20.5	8.6		SO:0001217, UniRef:UniRef50_A0A1L8Z9G4
PMFBGN_06700	1	195	+	GOIOJP_18605	5.9	9.6		
PMFBGN_06705	1	360	+	GOIOJP_18610	13.4	6.8		
PMFBGN_06735	1	300	+	GOIOJP_18620	11.1	5.7		
PMFBGN_06775	1	222	+	GOIOJP_18625	8.2	6.1	PF02524.18|KID	PFAM:PF02524.18
OJLFEP_05485	1	537	+	GOIOJP_18685	21.2	8.5		
OJLFEP_05855	1	366	+	GOIOJP_18765	14.3	5.1		SO:0001217, UniRef:UniRef50_A0A806C6L0
OJLFEP_05935	1	765	+	GOIOJP_18775	29.3	9.8		SO:0001217, UniRef:UniRef50_O50757
OJLFEP_05940	1	765	+	GOIOJP_18780	29.3	9.8		SO:0001217, UniRef:UniRef50_O50757
OJLFEP_06075	1	411	+	GOIOJP_18800	15.6	6.9		SO:0001217, UniRef:UniRef50_B9X9K7
OJLFEP_06175	1	231	+	GOIOJP_18820	9.0	9.4		RefSeq:WP_233191722.1, SO:0001217, UniParc:UPI001E2B1131, UniRef:UniRef100_UPI001E2B1131, UniRef:UniRef50_UPI001E2B1131, UniRef:UniRef90_UPI001E2B1131
OJLFEP_06230	1	630	+	GOIOJP_18840	24.4	10.1		
OJLFEP_06295	1	261	+	GOIOJP_18860	9.9	8.0		
OJLFEP_06325	1	330	+	GOIOJP_18880	11.7	5.8		
OJLFEP_06360	1	459	+	GOIOJP_18890	17.4	6.1		SO:0001217, UniRef:UniRef50_A0A806CB05
OJLFEP_06385	1	321	+	GOIOJP_18900	13.0	9.7		
OJLFEP_06390	1	306	+	GOIOJP_18905	11.3	4.8		
OJLFEP_06475	1	261	+	GOIOJP_18935	9.9	8.9		
GLGLOC_04640	1	240	+	GOIOJP_18995	9.0	4.5		
GLGLOC_04775	1	594	+	GOIOJP_19080	22.7	9.1		RefSeq:WP_010258362.1, SO:0001217, UniParc:UPI00016B33CF, UniRef:UniRef100_A0A0H3C267, UniRef:UniRef50_O50923, UniRef:UniRef90_O50923
GLGLOC_06475	1	534	+	GOIOJP_19230	20.6	5.4		
GLGLOC_06580	1	399	+	GOIOJP_19250	14.9	9.2		
LGKPKB_05570	1	783	+	GOIOJP_19295	29.7	5.8		RefSeq:WP_012686421.1, SO:0001217, UniParc:UPI00017F3FC9, UniRef:UniRef100_UPI00017F3FC9, UniRef:UniRef50_A0A0H3C5I5, UniRef:UniRef90_UPI00017F3FC9
LGKPKB_06230	1	396	+	GOIOJP_19395	15.8	8.9		
LGKPKB_06250	1	261	+	GOIOJP_19400	9.9	6.0		
LGKPKB_06255	1	261	+	GOIOJP_19405	9.9	8.0		
LGKPKB_06260	1	381	+	GOIOJP_19410	14.6	5.8		SO:0001217, UniRef:UniRef50_A0A7W9SJS6
LGKPKB_06270	1	327	+	GOIOJP_19415	12.6	4.4		SO:0001217, UniRef:UniRef50_C0R8Z5
ACLPNE_00845	1	780	+	GOIOJP_19445	30.2	8.5		
ACLPNE_01310	1	1275	+	GOIOJP_19480	48.5	4.5		RefSeq:WP_002661139.1, SO:0001217, UniParc:UPI00016C5820, UniRef:UniRef100_UPI00016C5820, UniRef:UniRef50_O51690, UniRef:UniRef90_O51690
ACLPNE_02530	1	1149	+	GOIOJP_19565	44.3	9.1		
ACLPNE_02660	1	513	+	GOIOJP_19580	20.5	9.4		SO:0001217, UniRef:UniRef50_W5SYR3
ACLPNE_03135	1	552	+	GOIOJP_19650	21.5	6.6		
ACLPNE_03775	1	792	+	GOIOJP_19700	31.0	9.3		SO:0001217, UniRef:UniRef50_UPI001E2A56AD, UniRef:UniRef90_UPI001E2A56AD
ACLPNE_03855	1	366	+	GOIOJP_19710	14.0	9.7	PF10502.13|Peptidase_S26	PFAM:PF10502.13
ACLPNE_04370	1	645	+	GOIOJP_19850	25.0	5.3	PF02463.23|SMC_N, PF13304.10|AAA_21	PFAM:PF02463.23, PFAM:PF13304.10
ACLPNE_04830	1	468	+	GOIOJP_19920	16.6	9.9		
ACLPNE_05090	1	1596	+	GOIOJP_19950	60.7	6.6	PF00270.33|DEAD, PF00271.35|Helicase_C, PF19833.3|RecG_dom3_C	PFAM:PF00270.33, PFAM:PF00271.35, PFAM:PF19833.3
ACLPNE_05285	49	732	+	GOIOJP_19985	25.8	4.6	PF01739.22|CheR	PFAM:PF01739.22
