DMPBEC_00005	Uncharacterized protein BB_0001
DMPBEC_04605	group_664
DMPBEC_04610	group_1687
DMPBEC_04615	group_1445
DMPBEC_04620	Rev
DMPBEC_04625	group_542
DMPBEC_04630	group_1446
DMPBEC_04635	group_575
DMPBEC_04640	group_2641
DMPBEC_04645	group_590
DMPBEC_04650	ORF09/2-9 ORF7
DMPBEC_04655	group_329
DMPBEC_04660	group_3127
DMPBEC_04665	group_692
DMPBEC_04670	group_190
DMPBEC_04675	group_745
DMPBEC_04680	group_1689
DMPBEC_04685	group_785
DMPBEC_04690	class I SAM-dependent DNA methyltransferase
DMPBEC_04695	group_1690
DMPBEC_04700	tnpB
DMPBEC_04705	tnpA
DMPBEC_04710	group_1693
DMPBEC_04715	group_1450
DMPBEC_04720	group_1694
DMPBEC_04725	group_1695
DMPBEC_04730	group_788
DMPBEC_04735	rdgC
DMPBEC_04740	group_3828
DMPBEC_04745	group_1233
DMPBEC_04750	group_1696
DMPBEC_04755	group_1698
DMPBEC_04760	group_1700
DMPBEC_04765	group_1702
DMPBEC_04770	group_1704
DMPBEC_04775	group_1706
DMPBEC_04780	group_1708
DMPBEC_04785	group_1710
DMPBEC_04790	group_1711
DMPBEC_04795	group_1712
DMPBEC_04800	group_1713
DMPBEC_04805	group_1714
DMPBEC_04810	group_1715
DMPBEC_04815	group_1716
DMPBEC_04820	group_1717
DMPBEC_04825	group_1718
DMPBEC_04830	group_1719
DMPBEC_04835	group_1720
DMPBEC_04840	Borrelia Bdr family protein
DMPBEC_04845	group_1722
DMPBEC_04850	group_1723
DMPBEC_04855	group_1724
DMPBEC_04860	group_229
DMPBEC_04865	group_1725
DMPBEC_04870	AAA domain-containing protein
DMPBEC_04875	group_1727
DMPBEC_04880	group_1728
DMPBEC_04885	Methyl-accepting chemotaxis (MCP) signaling domain protein
DMPBEC_04890	group_1230
DMPBEC_04895	group_3830
DMPBEC_04900	group_1234
DMPBEC_04905	group_1697
DMPBEC_04910	group_1699
DMPBEC_04915	group_1701
DMPBEC_04920	group_1703
DMPBEC_04925	group_1705
DMPBEC_04930	group_1707
DMPBEC_04935	group_1709
DMPBEC_04940	group_1729
DMPBEC_04945	group_1730
DMPBEC_04950	group_1731
DMPBEC_04955	right-handed parallel beta-helix repeat-containing protein
DMPBEC_04960	group_533
DMPBEC_04965	Protein p23
DMPBEC_04970	group_928
DMPBEC_04975	Bbk50-like
DMPBEC_04980	group_1236
DMPBEC_04985	Bbk49-like
DMPBEC_04990	Immunogenic protein P37, putative
DMPBEC_04995	Bbk47-like
DMPBEC_05000	Bbk46-like
DMPBEC_05005	group_1239
DMPBEC_05010	Immunogenic protein P37
DMPBEC_05015	group_1735
DMPBEC_05020	Uncharacterized protein BB_K41
DMPBEC_05025	group_1736
DMPBEC_05030	group_1454
DMPBEC_05035	Variable large protein
DMPBEC_05040	group_1455
DMPBEC_05045	group_1101
DMPBEC_05050	group_1456
DMPBEC_05055	fibronectin-binding protein
DMPBEC_05060	group_699
DMPBEC_05065	group_1242
DMPBEC_05070	group_1738
DMPBEC_05075	group_1739
DMPBEC_05080	Borrelia family protein PFam57/62
DMPBEC_05085	DUF226 domain-containing protein
DMPBEC_05090	group_1742
DMPBEC_05095	group_1457
DMPBEC_05100	ade
DMPBEC_05105	Putative antigen, P35
DMPBEC_05115	sIMPL
DMPBEC_05120	Lipoprotein
DMPBEC_05125	group_1743
DMPBEC_05130	group_1243
DMPBEC_05140	N-6 DNA methylase
DMPBEC_05145	group_1744
DMPBEC_05150	group_1458
DMPBEC_05155	group_3064
DMPBEC_05160	group_3248
DMPBEC_05165	group_1745
DMPBEC_05170	mlpF
DMPBEC_05175	group_200
DMPBEC_05180	group_268
DMPBEC_05185	group_2885
DMPBEC_05190	group_1459
DMPBEC_05195	group_1460
DMPBEC_05200	KID repeat family protein
DMPBEC_05205	group_29
DMPBEC_05210	group_2860
DMPBEC_05215	group_2719
DMPBEC_05220	erpK
DMPBEC_05225	group_1244
DMPBEC_05230	TM2 domain-containing protein
DMPBEC_05235	group_111
DMPBEC_05240	group_3776
DMPBEC_05245	group_3363
DMPBEC_05250	group_3206
DMPBEC_05255	group_2984
DMPBEC_05260	group_3496
DMPBEC_05265	group_2937
DMPBEC_05270	group_2607
DMPBEC_05275	group_2741
DMPBEC_05280	group_3192
DMPBEC_05285	group_3464
DMPBEC_05290	group_3789
DMPBEC_05295	group_310
DMPBEC_05300	group_2813
DMPBEC_05305	group_350
DMPBEC_05310	group_649
DMPBEC_05315	DUF759 domain-containing protein
DMPBEC_05320	group_162
DMPBEC_05325	group_3691
DMPBEC_05330	group_681
DMPBEC_05335	group_3132
DMPBEC_05340	group_2569
DMPBEC_05345	group_2726
DMPBEC_05350	DUF685 domain-containing protein
DMPBEC_05355	group_2642
DMPBEC_05360	group_1747
DMPBEC_05365	group_1748
DMPBEC_05370	group_1462
DMPBEC_05375	group_1463
DMPBEC_05380	group_1246
DMPBEC_05385	group_1749
DMPBEC_05390	group_1750
DMPBEC_05395	group_1751
DMPBEC_05400	group_1752
DMPBEC_05405	group_1753
DMPBEC_05410	group_367
DMPBEC_05415	group_1754
DMPBEC_05420	group_1755
DMPBEC_05425	group_1756
DMPBEC_05430	group_1757
DMPBEC_05435	group_1758
DMPBEC_05440	group_523
DMPBEC_05445	group_496
DMPBEC_05450	group_1759
DMPBEC_05455	group_1760
DMPBEC_05460	group_1761
DMPBEC_05465	group_1762
DMPBEC_05470	group_1763
DMPBEC_05475	group_1764
DMPBEC_05480	group_1765
DMPBEC_05485	group_1766
DMPBEC_05490	group_1767
DMPBEC_05495	group_1768
DMPBEC_05500	group_1769
DMPBEC_05505	group_1770
DMPBEC_05510	group_1771
DMPBEC_05515	CobQ/CobB/MinD/ParA nucleotide binding domain protein
DMPBEC_05520	group_1773
DMPBEC_05525	group_1774
DMPBEC_05530	group_1775
DMPBEC_05535	group_1776
DMPBEC_05540	group_1247
DMPBEC_05545	group_1777
DMPBEC_05550	Borrelia lipoprotein
DMPBEC_05555	group_1779
DMPBEC_05560	group_1780
DMPBEC_05565	group_1781
DMPBEC_05570	Repeat motif-containing gene protein
DMPBEC_05575	group_1783
DMPBEC_05580	group_1784
DMPBEC_05585	group_1785
DMPBEC_05590	Borrelia family protein
DMPBEC_05595	group_1465
DMPBEC_05600	group_1786
DMPBEC_05605	group_1787
DMPBEC_05610	group_1788
DMPBEC_05615	Pfs protein
DMPBEC_05620	group_1790
DMPBEC_05625	group_1791
DMPBEC_05630	group_895
DMPBEC_05635	chromosome replication/partitioning protein
DMPBEC_05640	Surface antigen
DMPBEC_05645	group_3525
DMPBEC_05650	group_859
DMPBEC_05655	group_1249
DMPBEC_05660	Borrelia burgdorferi virulent strain associated lipoprotein
DMPBEC_05665	group_862
DMPBEC_05670	Transporter, major facilitator family
DMPBEC_05675	group_1793
DMPBEC_05680	group_1794
DMPBEC_05685	group_1795
DMPBEC_05690	BBC01
DMPBEC_05695	Blasticidin-S acetyltransferase
DMPBEC_05700	group_1796
DMPBEC_05705	Transposase
DMPBEC_05710	group_1250
DMPBEC_05715	group_1466
DMPBEC_05720	group_1798
DMPBEC_05725	Borrelia ORF-A
DMPBEC_05730	group_1467
DMPBEC_05735	group_1799
DMPBEC_05740	group_1468
DMPBEC_05745	group_1251
DMPBEC_05750	group_1106
DMPBEC_05755	group_1001
DMPBEC_05760	Partition protein
DMPBEC_05765	group_1108
DMPBEC_05770	group_1253
DMPBEC_05775	group_1109
DMPBEC_05780	alpha3-beta1 integrin-binding protein
DMPBEC_05785	celA
DMPBEC_05790	celC
DMPBEC_05795	celB
DMPBEC_05800	resT
DMPBEC_05805	group_1471
DMPBEC_05810	acyP
DMPBEC_05815	group_1002
DMPBEC_05820	Putative ankyrin repeat protein BB_B28
DMPBEC_05825	group_1472
DMPBEC_05830	immA
DMPBEC_05835	group_1800
DMPBEC_05840	group_1801
DMPBEC_05845	nCS2
DMPBEC_05850	group_1802
DMPBEC_05855	group_1803
DMPBEC_05860	guaA
DMPBEC_05865	guaB
DMPBEC_05870	group_1111
DMPBEC_05875	Oligopeptide permease-like protein
DMPBEC_05880	group_1804
DMPBEC_05885	group_1474
DMPBEC_05890	group_392
DMPBEC_05895	group_1806
DMPBEC_05900	group_1808
DMPBEC_05905	group_1259
DMPBEC_05910	group_1811
DMPBEC_05915	group_1812
DMPBEC_05920	group_1260
DMPBEC_05925	group_1809
DMPBEC_05930	group_1807
DMPBEC_05935	cdsE
DMPBEC_05940	group_1475
DMPBEC_05945	group_1805
DMPBEC_05950	group_3568
DMPBEC_05955	Uncharacterized lipoprotein BBD10
DMPBEC_05960	Uncharacterized protein BBD11
DMPBEC_05965	Homing endonuclease LAGLIDADG domain-containing protein
DMPBEC_05970	BBD14-like protein
DMPBEC_05975	Uncharacterized membrane protein BB_D15
DMPBEC_05980	Uncharacterized protein BBD18
DMPBEC_05985	group_3291
DMPBEC_05990	group_1112
DMPBEC_05995	group_478
DMPBEC_06000	group_709
DMPBEC_06005	group_721
DMPBEC_06010	group_3510
DMPBEC_06015	group_431
DMPBEC_06020	group_276
DMPBEC_06025	group_285
DMPBEC_06030	group_3772
DMPBEC_06035	group_104
DMPBEC_06040	group_1814
DMPBEC_06045	erpQ
DMPBEC_06050	erpP
DMPBEC_06055	group_1006
DMPBEC_06060	group_604
DMPBEC_06065	group_13
DMPBEC_06070	group_1816
DMPBEC_06075	group_1817
DMPBEC_06080	group_1479
DMPBEC_06085	group_631
DMPBEC_06090	group_261
DMPBEC_06095	Single-stranded DNA-binding protein
DMPBEC_06100	group_666
DMPBEC_06105	mlpI
DMPBEC_06110	group_1819
DMPBEC_06115	group_1480
DMPBEC_06120	group_1263
DMPBEC_06125	group_2863
DMPBEC_06130	group_32
DMPBEC_06135	group_1820
DMPBEC_06140	group_1821
DMPBEC_06145	group_1264
DMPBEC_06150	group_3883
DMPBEC_06155	group_773
DMPBEC_06160	group_3673
DMPBEC_06165	group_1822
DMPBEC_06170	REP+ protein
DMPBEC_06175	group_3564
DMPBEC_06180	group_3565
DMPBEC_06185	group_3500
DMPBEC_06190	group_848
DMPBEC_06195	group_3210
DMPBEC_06200	group_377
DMPBEC_06205	group_1481
DMPBEC_06210	group_596
DMPBEC_06215	group_2660
DMPBEC_06220	group_731
DMPBEC_06225	group_3076
DMPBEC_06230	ORF02
DMPBEC_06235	group_345
DMPBEC_06245	DUF1463 domain-containing protein
DMPBEC_06250	group_308
DMPBEC_06255	ORF32
DMPBEC_06260	group_477
DMPBEC_06265	group_1823
AIHKLI_00110	group_679
AIHKLI_01620	group_1824
AIHKLI_01945	secE
AIHKLI_02115	group_1826
AIHKLI_02730	group_1827
AIHKLI_04275	group_1483
AIHKLI_04280	putative helicase
AIHKLI_04285	group_776
AIHKLI_04290	group_781
AIHKLI_04295	transposase
AIHKLI_04305	group_1484
AIHKLI_04310	group_1485
AIHKLI_04315	group_1828
AIHKLI_04320	group_1486
AIHKLI_04325	Tape measure domain protein
AIHKLI_04345	HK97 gp10 family phage protein
AIHKLI_04350	group_1489
AIHKLI_04355	group_1267
AIHKLI_04360	3D domain-containing protein
AIHKLI_04365	Terminase
AIHKLI_04370	group_943
AIHKLI_04375	group_1830
AIHKLI_04380	Mlp lipoprotein family protein
AIHKLI_04385	group_1833
AIHKLI_04390	group_797
AIHKLI_04395	Right handed beta helix domain-containing protein
AIHKLI_04400	group_1493
AIHKLI_04405	group_1494
AIHKLI_04410	DUF261 domain-containing protein
AIHKLI_04415	group_1835
AIHKLI_04420	group_1836
AIHKLI_04425	BBG30-like protein
AIHKLI_04430	group_1838
AIHKLI_04435	Replicative helicase
AIHKLI_04440	group_1839
AIHKLI_04445	group_951
AIHKLI_04510	group_1104
AIHKLI_04520	group_861
AIHKLI_04535	Borrelia virulent strain associated lipoprotein, paralogous family 60
AIHKLI_04545	group_1840
AIHKLI_04560	Transposase putative helix-turn-helix domain-containing protein
AIHKLI_04565	thyX
AIHKLI_04570	osm28
AIHKLI_04575	group_1497
AIHKLI_04580	complement regulator-acquiring protein
AIHKLI_04585	group_1274
AIHKLI_04590	group_1498
AIHKLI_04595	Surface protein
AIHKLI_04600	Outer surface protein
AIHKLI_04605	group_1845
AIHKLI_04610	group_1846
AIHKLI_04615	group_1847
AIHKLI_04620	Lp6-6 family lipoprotein
AIHKLI_04625	Ribosomal protein L5
AIHKLI_04630	T cell independent antigen P32BBTI
AIHKLI_04635	Conserved domain protein
AIHKLI_04640	group_1851
AIHKLI_04645	DUF777 domain-containing protein
AIHKLI_04650	DUF693 domain-containing protein
AIHKLI_04655	Bbs27 protein
AIHKLI_04660	group_1854
AIHKLI_04665	Putative outer membrane protein BBA52
AIHKLI_04670	group_1856
AIHKLI_04675	group_1857
AIHKLI_04680	group_1858
AIHKLI_04685	DUF1473 domain-containing protein
AIHKLI_04690	group_1860
AIHKLI_04695	group_1861
AIHKLI_04700	DUF764 domain-containing protein
AIHKLI_04705	Plasmid partition protein
AIHKLI_04710	DUF1506 domain-containing protein
AIHKLI_04715	DUF3890 domain-containing protein
AIHKLI_04720	group_1866
AIHKLI_04725	Lyme disease proteins of unknown function
AIHKLI_04730	DUF1357 domain-containing protein
AIHKLI_04735	group_1869
AIHKLI_04740	group_1499
AIHKLI_04745	group_1606
AIHKLI_04750	group_1870
AIHKLI_04755	group_1500
AIHKLI_04760	group_1871
AIHKLI_04765	xtmB
AIHKLI_04770	group_1873
AIHKLI_04775	dbpB
AIHKLI_04780	group_1874
AIHKLI_04785	bppB
AIHKLI_04790	group_1502
AIHKLI_04795	group_1875
AIHKLI_04800	group_1876
AIHKLI_04805	Plasmid partitioning associated protein-1
AIHKLI_04810	Peptide transporter
AIHKLI_04815	ospB
AIHKLI_04820	ospA
AIHKLI_04825	Outer membrane lipoprotein BBA14
AIHKLI_04830	Borrelia hemolysin accessory protein
AIHKLI_04835	blyA
AIHKLI_04840	group_1883
AIHKLI_04845	DUF735 domain-containing protein
AIHKLI_04850	DUF276 domain-containing protein
AIHKLI_04855	DUF2634 domain-containing protein
AIHKLI_04860	BBA07 family lipoprotein
AIHKLI_04865	Antigen, S1
AIHKLI_04870	group_1888
AIHKLI_04875	Putative outer membrane protein BBA03
AIHKLI_04880	group_3566
AIHKLI_04885	group_1890
AIHKLI_04890	group_1891
AIHKLI_04895	group_1892
AIHKLI_04900	group_1504
AIHKLI_04905	group_1893
AIHKLI_04910	group_1894
AIHKLI_04915	group_3822
AIHKLI_04920	group_2897
AIHKLI_04925	group_2694
AIHKLI_04930	group_3147
AIHKLI_04935	group_3084
AIHKLI_04940	group_399
AIHKLI_04945	group_289
AIHKLI_04950	group_2960
AIHKLI_04955	group_2790
AIHKLI_04960	group_2918
AIHKLI_04965	group_150
AIHKLI_04975	group_2843
AIHKLI_04980	group_3699
AIHKLI_04985	group_3119
AIHKLI_04990	group_3664
AIHKLI_05000	group_587
AIHKLI_05005	group_2633
AIHKLI_05010	group_3007
AIHKLI_05015	group_3047
AIHKLI_05020	group_2580
AIHKLI_05025	bdrW
AIHKLI_05030	mlpJ
AIHKLI_05035	group_201
AIHKLI_05040	group_257
AIHKLI_05045	group_2887
AIHKLI_05050	group_1279
AIHKLI_05055	group_1505
AIHKLI_05060	group_863
AIHKLI_05065	group_18
AIHKLI_05070	group_599
AIHKLI_05075	group_956
AIHKLI_05080	erpX
AIHKLI_05085	DUF643 domain-containing protein
AIHKLI_05090	group_107
AIHKLI_05095	group_385
AIHKLI_05100	DUF1073 domain-containing protein
AIHKLI_05105	group_280
AIHKLI_05110	group_439
AIHKLI_05115	group_3597
AIHKLI_05120	group_726
AIHKLI_05125	group_1896
AIHKLI_05130	group_1897
AIHKLI_05135	group_1898
AIHKLI_05140	group_945
AIHKLI_05145	group_1899
AIHKLI_05150	group_1900
AIHKLI_05155	group_1901
AIHKLI_05160	Borrelia burgdorferi virulent strain associated lipofamily protein
AIHKLI_05165	group_1903
AIHKLI_05170	putative antigen P35
AIHKLI_05175	group_1012
AIHKLI_05180	group_828
AIHKLI_05185	ospD
AIHKLI_05190	group_1905
AIHKLI_05195	group_1280
AIHKLI_05200	group_1120
AIHKLI_05205	group_1509
AIHKLI_05210	group_1510
AIHKLI_05215	group_1906
AIHKLI_05220	group_1907
AIHKLI_05225	group_2372
AIHKLI_05230	group_1908
AIHKLI_05235	group_1909
AIHKLI_05240	group_1910
AIHKLI_05245	group_1911
AIHKLI_05250	Outer membrane lipoprotein-sorting protein
AIHKLI_05255	group_1281
AIHKLI_05260	group_867
AIHKLI_05265	group_1284
AIHKLI_05270	group_958
AIHKLI_05275	group_853
AIHKLI_05280	group_1282
AIHKLI_05285	group_868
AIHKLI_05290	group_1512
AIHKLI_05295	group_1914
AIHKLI_05300	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
AIHKLI_05305	group_1514
AIHKLI_05310	group_836
AIHKLI_05315	group_834
AIHKLI_05320	group_1920
AIHKLI_05325	group_1922
AIHKLI_05330	group_832
AIHKLI_05335	group_830
AIHKLI_05340	group_1515
AIHKLI_05345	group_1917
AIHKLI_05350	group_1913
AIHKLI_05355	group_1511
AIHKLI_05405	fzo-like conserved region
AIHKLI_05425	group_1516
AIHKLI_05510	group_794
AIHKLI_05515	group_1927
AIHKLI_05530	group_766
AIHKLI_05535	P12 family lipoprotein
AIHKLI_05540	Putative vls recombination cassette Vls16a
AIHKLI_05545	Putative vls recombination cassette Vls14a
AIHKLI_05550	group_644
AIHKLI_05555	group_1928
AIHKLI_05560	group_1929
AIHKLI_05565	group_1930
AIHKLI_05570	group_1931
AIHKLI_05575	group_1518
AIHKLI_05580	group_1932
AIHKLI_05585	Borrelia ORF-A superfamily
AIHKLI_05590	group_1520
AIHKLI_05595	group_1933
AIHKLI_05600	group_1286
AIHKLI_05605	group_1934
AIHKLI_05610	Uncharacterized lipoprotein BBF20
AIHKLI_05615	group_231
AIHKLI_05620	Transmembrane protein
AIHKLI_05625	group_1102
AIHKLI_05630	group_1937
AIHKLI_05635	group_1938
AIHKLI_05640	group_1287
AIHKLI_05645	Putative plasmid partition protein
AIHKLI_05650	group_1241
AIHKLI_05655	group_1289
AIHKLI_05660	group_1940
AIHKLI_05665	erpD
AIHKLI_05670	group_1523
AIHKLI_05675	group_1527
AIHKLI_05680	group_1943
AIHKLI_05685	group_1939
AIHKLI_05690	group_1291
AIHKLI_05695	group_1946
AIHKLI_05700	group_1528
AIHKLI_05705	group_1947
AIHKLI_05710	group_1948
AIHKLI_05715	group_1292
AIHKLI_05720	group_1121
AIHKLI_05725	group_1949
AIHKLI_05730	group_1293
AIHKLI_05735	group_1294
AIHKLI_05740	group_1950
AIHKLI_05745	group_1529
AIHKLI_05750	Borrelial persistence in ticks protein A
AIHKLI_05755	group_1295
AIHKLI_05760	group_1122
AIHKLI_05765	group_1531
AIHKLI_05770	group_1013
AIHKLI_05775	Uncharacterized domain protein
AIHKLI_05780	group_801
AIHKLI_05785	group_800
AIHKLI_05790	group_1951
AIHKLI_05795	group_3700
AIHKLI_05800	group_2850
AIHKLI_05805	group_749
AIHKLI_05810	group_145
AIHKLI_05820	group_2785
AIHKLI_05825	group_2820
AIHKLI_05830	group_290
AIHKLI_05835	group_403
AIHKLI_05840	group_3098
AIHKLI_05845	group_3149
AIHKLI_05850	group_2698
AIHKLI_05855	group_2904
AIHKLI_05860	group_3824
AIHKLI_05865	group_3868
AIHKLI_05870	group_3593
AIHKLI_05875	group_438
AIHKLI_05880	group_3611
AIHKLI_05885	group_3768
AIHKLI_05890	group_77
AIHKLI_05895	group_925
AIHKLI_05900	group_896
AIHKLI_05905	erpC
AIHKLI_05910	Tyr recombinase domain-containing protein
AIHKLI_05925	bdrM
AIHKLI_05930	group_1956
AIHKLI_05935	group_1532
AIHKLI_05945	group_1533
AIHKLI_05950	group_3671
AIHKLI_05965	group_1016
AIHKLI_05970	group_2588
AIHKLI_05975	Borrelia BBR25 lipoprotein
AIHKLI_05980	group_573
AIHKLI_05990	group_593
AIHKLI_06000	group_3661
AIHKLI_06005	group_3352
AIHKLI_06010	group_3322
AIHKLI_06015	group_88
AIHKLI_06020	group_3428
AIHKLI_06025	Erp protein
AIHKLI_06030	group_1959
AIHKLI_06035	bppC1
AIHKLI_06045	group_10
AIHKLI_06065	group_627
AIHKLI_06070	group_1123
AIHKLI_06075	group_671
AIHKLI_06080	mlpA
AIHKLI_06085	group_254
AIHKLI_06090	group_3237
AIHKLI_06095	group_3038
AIHKLI_06100	group_3010
AIHKLI_06105	group_898
AIHKLI_06110	group_1031
AIHKLI_06115	group_451
AIHKLI_06120	group_323
AIHKLI_06125	group_841
AIHKLI_06130	group_1093
AIHKLI_06135	group_3692
AIHKLI_06140	group_165
AIHKLI_06145	group_144
AIHKLI_06150	group_651
AIHKLI_06160	group_2815
AIHKLI_06165	group_316
AIHKLI_06170	group_418
AIHKLI_06175	bppA
AIHKLI_06180	group_3189
AIHKLI_06185	group_2747
AIHKLI_06190	group_2609
AIHKLI_06195	group_878
AIHKLI_06200	group_902
AIHKLI_06205	group_2971
AIHKLI_06210	group_441
AIHKLI_06215	group_742
AIHKLI_06220	group_759
AIHKLI_06225	group_136
AIHKLI_06230	group_2924
AIHKLI_06235	group_363
AIHKLI_06240	group_364
AIHKLI_06245	group_2965
AIHKLI_06250	group_321
AIHKLI_06255	group_3808
AIHKLI_06260	group_3087
AIHKLI_06265	group_3163
AIHKLI_06270	group_526
AIHKLI_06275	group_480
AIHKLI_06285	group_715
AIHKLI_06335	group_1007
AIHKLI_06395	bdrR
AIHKLI_06400	group_556
AIHKLI_06405	group_3053
AIHKLI_06415	group_2648
AIHKLI_06425	group_476
AIHKLI_06430	group_336
AIHKLI_06435	group_3137
AIHKLI_06440	group_694
AIHKLI_06445	group_184
AIHKLI_06450	group_810
AIHKLI_06455	group_405
AIHKLI_06460	group_3796
AIHKLI_06465	group_2821
AIHKLI_06470	group_2789
AIHKLI_06475	group_2921
AIHKLI_06480	group_132
AIHKLI_06485	group_747
AIHKLI_06490	group_2842
AIHKLI_06495	group_3705
AIHKLI_06500	group_3121
AIHKLI_06505	group_3668
AIHKLI_06510	group_2724
AIHKLI_06525	group_3005
AIHKLI_06530	group_3043
AIHKLI_06535	group_545
AIHKLI_06540	bdrH
AIHKLI_06545	mlpD
AIHKLI_06550	Erf family protein
AIHKLI_06555	group_266
AIHKLI_06560	group_2677
AIHKLI_06565	group_1534
AIHKLI_06570	group_1535
AIHKLI_06575	group_1965
AIHKLI_06580	yqaJ
AIHKLI_06585	group_598
AIHKLI_06590	Putative phage integrase
AIHKLI_06595	erpH
AIHKLI_06600	Borrelia outer surface protein E
AIHKLI_06605	erpY
AIHKLI_06610	group_1037
AIHKLI_06615	group_75
AIHKLI_06620	group_380
AIHKLI_06625	group_3613
AIHKLI_06630	group_1968
AIHKLI_06635	PF-49 protein
AIHKLI_06640	group_813
AIHKLI_06645	group_3874
AIHKLI_06650	DUF228 domain-containing protein
AIHKLI_06655	group_492
AIHKLI_06660	group_522
AIHKLI_06665	group_3165
AIHKLI_06670	group_294
AIHKLI_06675	group_2833
AIHKLI_06680	group_2798
AIHKLI_06690	Phage tail tape measure protein
AIHKLI_06695	DUF792 domain-containing protein
AIHKLI_06700	group_176
AIHKLI_06705	group_685
AIHKLI_06710	group_3126
AIHKLI_06715	group_2574
AIHKLI_06720	group_2733
AIHKLI_06725	group_1026
AIHKLI_06730	group_2639
AIHKLI_06735	ORF12/BlyB
AIHKLI_06740	group_3056
AIHKLI_06745	group_3244
AIHKLI_06750	group_1970
AIHKLI_06755	group_253
AIHKLI_06760	mlpC
AIHKLI_06765	2-9-5 36K minus strand ORF
AIHKLI_06770	group_624
AIHKLI_06775	group_2886
AIHKLI_06780	group_1133
AIHKLI_06785	group_1972
AIHKLI_06790	group_866
AIHKLI_06795	group_3532
AIHKLI_06800	group_612
AIHKLI_06805	group_1131
AIHKLI_06810	erpG
AIHKLI_06815	group_1136
AIHKLI_06820	group_1973
AIHKLI_06865	group_516
AIHKLI_06870	group_728
AIHKLI_06880	group_3816
AIHKLI_06885	group_3787
AIHKLI_06890	group_293
AIHKLI_06895	group_2818
AIHKLI_06900	group_2792
AIHKLI_06905	group_654
AIHKLI_06910	group_125
AIHKLI_06915	group_748
AIHKLI_06920	group_2847
AIHKLI_06925	group_1086
AIHKLI_06935	group_3667
AIHKLI_06940	group_2732
AIHKLI_06945	group_1022
AIHKLI_06950	group_2632
AIHKLI_06955	group_2762
AIHKLI_06980	group_3674
AIHKLI_06985	group_774
AIHKLI_06990	group_3882
AIHKLI_07015	group_3761
AIHKLI_07020	bppC
AIHKLI_07030	group_1975
AIHKLI_07035	group_86
AIHKLI_07040	group_3332
AIHKLI_07045	group_3367
AIHKLI_07050	group_443
AIHKLI_07055	group_3595
AIHKLI_07060	group_3873
AIHKLI_07065	group_3825
AIHKLI_07070	group_2906
AIHKLI_07075	group_2696
AIHKLI_07080	group_3188
AIHKLI_07085	cspZ
AIHKLI_07090	yeeA
AIHKLI_07095	group_1977
AIHKLI_07100	group_1978
AIHKLI_07105	group_1979
AIHKLI_07110	group_1143
AIHKLI_07115	group_1144
AIHKLI_07120	group_1191
AIHKLI_07135	group_1980
AIHKLI_07140	Antigen, P35, putative
AIHKLI_07145	adeC
AIHKLI_07150	group_1547
AIHKLI_07155	insQ
AIHKLI_07160	group_778
AIHKLI_07165	group_777
AIHKLI_07215	group_1543
AIHKLI_07240	ospC
AIHKLI_07245	group_1298
AIHKLI_07300	group_3290
AIHKLI_07305	group_2852
AIHKLI_07310	Uncharacterized protein BBD22
AIHKLI_07375	cdsC
AIHKLI_07385	group_1015
AIHKLI_07390	group_918
LNEFEP_02740	group_1983
LNEFEP_03035	group_1984
LNEFEP_03890	flgJ1
LNEFEP_04260	group_1986
LNEFEP_04300	group_1300
LNEFEP_04480	dbpA
LNEFEP_04490	group_1544
LNEFEP_04585	group_1545
LNEFEP_04590	plasmid maintenance protein
LNEFEP_04600	group_1546
LNEFEP_04605	group_790
LNEFEP_04630	group_821
LNEFEP_04680	group_1989
LNEFEP_04690	group_220
LNEFEP_04695	group_221
LNEFEP_04700	group_933
LNEFEP_04705	P52 family lipoprotein
LNEFEP_04765	repU
LNEFEP_04770	group_1991
LNEFEP_04785	CRASP-2
LNEFEP_04790	group_1548
LNEFEP_04795	group_967
LNEFEP_04825	group_3533
LNEFEP_04830	group_3755
LNEFEP_04840	BbK2-10
LNEFEP_04845	eppA
LNEFEP_04850	group_1993
LNEFEP_04875	group_2988
LNEFEP_04885	group_2944
LNEFEP_04890	group_2621
LNEFEP_04895	group_2750
LNEFEP_04900	group_3160
LNEFEP_04905	group_3094
LNEFEP_04910	group_410
LNEFEP_04925	group_348
LNEFEP_04930	group_650
LNEFEP_04935	group_140
LNEFEP_04950	group_1146
LNEFEP_04955	group_843
LNEFEP_04960	group_3743
LNEFEP_04965	group_459
LNEFEP_04970	group_3380
LNEFEP_04975	group_2650
LNEFEP_04980	group_2764
LNEFEP_04985	group_3039
LNEFEP_04990	group_552
LNEFEP_04995	group_239
LNEFEP_05000	group_1549
LNEFEP_05005	group_3547
LNEFEP_05010	group_101
LNEFEP_05015	mlpL
LNEFEP_05020	Erp45 protein
LNEFEP_05030	group_2859
LNEFEP_05040	group_1995
LNEFEP_05070	group_1996
LNEFEP_05080	revA
LNEFEP_05085	group_553
LNEFEP_05090	group_3037
LNEFEP_05095	group_2760
LNEFEP_05100	group_2643
LNEFEP_05105	group_1053
LNEFEP_05110	group_467
LNEFEP_05115	group_3739
LNEFEP_05120	group_3123
LNEFEP_05125	group_1552
LNEFEP_05130	group_1150
LNEFEP_05140	group_130
LNEFEP_05145	group_659
LNEFEP_05155	group_939
LNEFEP_05160	group_3804
LNEFEP_05165	group_3810
