"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESI26","UCT109","UCT110","UCT113","UCT29","UCT30","UCT31","UCT32","UCT35","UCT50","UCT92","UCT96","UNY149","UNY169","UNY172","UNY193","UNY203","UNY208","URI101","URI102","URI103","URI107","URI111","URI112","URI117","URI118","URI120","URI33","URI34","URI36","URI39","URI40","URI41","URI42","URI44","URI46","URI47","URI48","URI56","URI86","URI87","URI88","URI89","URI91","URI93","UWI247","UWI248","UWI263","UWI283"
"nIF3","","Nif3-like dinuclear metal center hexameric protein","49","49","1","63","480","","","","746","746","746","CKDGNL_01920","AIHAAB_03885","APIDPD_00260","HCLMIK_01910","DNBOAP_03885","DLCMNL_01910","GCGJFL_03885","AMNIDF_00260","JODKDA_00260","ANPAAP_00260","KCCBHE_01910","AINDPC_00260","NAHIGD_02350","GMPCOK_01165","EFMOJC_02090","KFEJKD_02240","GDPOAI_03835","CGENMI_02350","KLACFF_03885","BOHBDJ_03885","BIKOAE_00260","BAPHAO_03885","EGFPMN_00265","JIDBHP_00260","NKPDPH_00260","PIKJEB_03970","OFFMIL_03985","JHFDLE_00260","AFNEPP_03705","HCFOCN_00260","EPICMG_04000","BLADBF_00265","KKNGOI_04000","LIJDDG_00265","HFKOMI_01905","CENHHB_01910","GDCPBO_01910","HEGNPG_00260","EFDIJO_01695","GEBMJB_01910","NCOCKI_03885","OHAJAL_01900","CIPKDF_03885","DMHAMM_03885","AGFJGC_03885","GGIAGI_03025","AEKFMC_03130","EMEHFM_03100","LGKPKB_00915"
"clpA","","ATP-dependent Clp protease, ATP-binding subunit ClpA","49","49","1","63","383","","","","2291","2291","2291","CKDGNL_02440","AIHAAB_01810","APIDPD_02440","HCLMIK_02435","DNBOAP_01810","DLCMNL_02435","GCGJFL_02320","AMNIDF_02435","JODKDA_02980","ANPAAP_03980","KCCBHE_02945","AINDPC_02415","NAHIGD_01810","GMPCOK_00630","EFMOJC_04575","KFEJKD_01460","GDPOAI_01600","CGENMI_01810","KLACFF_01810","BOHBDJ_01810","BIKOAE_02950","BAPHAO_01810","EGFPMN_02445","JIDBHP_02440","NKPDPH_02425","PIKJEB_01795","OFFMIL_02320","JHFDLE_02430","AFNEPP_05445","HCFOCN_02430","EPICMG_02325","BLADBF_02445","KKNGOI_01820","LIJDDG_02445","HFKOMI_02940","CENHHB_02435","GDCPBO_02435","HEGNPG_02430","EFDIJO_02730","GEBMJB_02435","NCOCKI_01810","OHAJAL_02425","CIPKDF_01810","DMHAMM_01810","AGFJGC_01810","GGIAGI_00230","AEKFMC_02715","EMEHFM_02355","LGKPKB_01735"
"leuS","","leucine--tRNA ligase","49","49","1","63","266","","","","2522","2522","2522","CKDGNL_03005","AIHAAB_02375","APIDPD_03005","HCLMIK_03000","DNBOAP_02375","DLCMNL_03000","GCGJFL_01755","AMNIDF_03000","JODKDA_02415","ANPAAP_03415","KCCBHE_02380","AINDPC_02980","NAHIGD_01245","GMPCOK_00060","EFMOJC_04010","KFEJKD_02550","GDPOAI_02160","CGENMI_01245","KLACFF_02375","BOHBDJ_02375","BIKOAE_02385","BAPHAO_02375","EGFPMN_03010","JIDBHP_03005","NKPDPH_02990","PIKJEB_02360","OFFMIL_01755","JHFDLE_02995","AFNEPP_06010","HCFOCN_02995","EPICMG_01760","BLADBF_03010","KKNGOI_02385","LIJDDG_03010","HFKOMI_02375","CENHHB_03000","GDCPBO_03000","HEGNPG_02995","EFDIJO_02165","GEBMJB_03000","NCOCKI_02375","OHAJAL_02990","CIPKDF_02375","DMHAMM_02375","AGFJGC_02375","GGIAGI_03210","AEKFMC_01795","EMEHFM_02095","LGKPKB_01170"
"Putative lipoprotein","","Putative lipoprotein","49","49","1","63","239","","","","353","353","353","CKDGNL_03145","AIHAAB_02515","APIDPD_03145","HCLMIK_03140","DNBOAP_02515","DLCMNL_03140","GCGJFL_01615","AMNIDF_03140","JODKDA_02275","ANPAAP_03275","KCCBHE_02240","AINDPC_03120","NAHIGD_01105","GMPCOK_03760","EFMOJC_03870","KFEJKD_02325","GDPOAI_01130","CGENMI_01105","KLACFF_02515","BOHBDJ_02515","BIKOAE_02245","BAPHAO_02515","EGFPMN_03150","JIDBHP_03145","NKPDPH_03130","PIKJEB_02500","OFFMIL_01615","JHFDLE_03135","AFNEPP_06150","HCFOCN_03135","EPICMG_01620","BLADBF_03150","KKNGOI_02525","LIJDDG_03150","HFKOMI_02235","CENHHB_03140","GDCPBO_03140","HEGNPG_03135","EFDIJO_02025","GEBMJB_03140","NCOCKI_02515","OHAJAL_03130","CIPKDF_02515","DMHAMM_02515","AGFJGC_02515","GGIAGI_02520","AEKFMC_03890","EMEHFM_00660","LGKPKB_04365"
"pepF","","oligoendopeptidase F","49","49","1","63","263","","","","1772","1772","1772","CKDGNL_03025","AIHAAB_02395","APIDPD_03025","HCLMIK_03020","DNBOAP_02395","DLCMNL_03020","GCGJFL_01735","AMNIDF_03020","JODKDA_02395","ANPAAP_03395","KCCBHE_02360","AINDPC_03000","NAHIGD_01225","GMPCOK_00040","EFMOJC_03990","KFEJKD_02570","GDPOAI_02180","CGENMI_01225","KLACFF_02395","BOHBDJ_02395","BIKOAE_02365","BAPHAO_02395","EGFPMN_03030","JIDBHP_03025","NKPDPH_03010","PIKJEB_02380","OFFMIL_01735","JHFDLE_03015","AFNEPP_06030","HCFOCN_03015","EPICMG_01740","BLADBF_03030","KKNGOI_02405","LIJDDG_03030","HFKOMI_02355","CENHHB_03020","GDCPBO_03020","HEGNPG_03015","EFDIJO_02145","GEBMJB_03020","NCOCKI_02395","OHAJAL_03010","CIPKDF_02395","DMHAMM_02395","AGFJGC_02395","GGIAGI_03190","AEKFMC_01815","EMEHFM_02115","LGKPKB_01150"
"trmH","","tRNA (guanosine(18)-2'-O)-methyltransferase","49","49","1","63","68","","","","656","656","656","CKDGNL_03995","AIHAAB_03365","APIDPD_03995","HCLMIK_03990","DNBOAP_03365","DLCMNL_03990","GCGJFL_02845","AMNIDF_03990","JODKDA_03505","ANPAAP_02420","KCCBHE_03465","AINDPC_03970","NAHIGD_00255","GMPCOK_04100","EFMOJC_05785","KFEJKD_01255","GDPOAI_00925","CGENMI_00255","KLACFF_03365","BOHBDJ_03365","BIKOAE_03470","BAPHAO_03365","EGFPMN_04000","JIDBHP_03995","NKPDPH_03980","PIKJEB_03350","OFFMIL_02840","JHFDLE_03985","AFNEPP_07000","HCFOCN_03985","EPICMG_02855","BLADBF_04000","KKNGOI_03375","LIJDDG_04000","HFKOMI_03460","CENHHB_03990","GDCPBO_03990","HEGNPG_03985","EFDIJO_03775","GEBMJB_03990","NCOCKI_03365","OHAJAL_03980","CIPKDF_03365","DMHAMM_03365","AGFJGC_03365","GGIAGI_01245","AEKFMC_00255","EMEHFM_00450","LGKPKB_03310"
"Uncharacterized protein BB_0089","","Uncharacterized protein BB_0089","49","49","1","63","105","","","","974","983","974","CKDGNL_03815","AIHAAB_03185","APIDPD_03815","HCLMIK_03810","DNBOAP_03185","DLCMNL_03810","GCGJFL_03025","AMNIDF_03810","JODKDA_03685","ANPAAP_02600","KCCBHE_03645","AINDPC_03790","NAHIGD_00435","GMPCOK_03090","EFMOJC_05510","KFEJKD_04640","GDPOAI_02275","CGENMI_00435","KLACFF_03185","BOHBDJ_03185","BIKOAE_03650","BAPHAO_03185","EGFPMN_03820","JIDBHP_03815","NKPDPH_03800","PIKJEB_03170","OFFMIL_03020","JHFDLE_03805","AFNEPP_06820","HCFOCN_03805","EPICMG_03035","BLADBF_03820","KKNGOI_03195","LIJDDG_03820","HFKOMI_03640","CENHHB_03810","GDCPBO_03810","HEGNPG_03805","EFDIJO_03595","GEBMJB_03810","NCOCKI_03185","OHAJAL_03800","CIPKDF_03185","DMHAMM_03185","AGFJGC_03185","GGIAGI_00855","AEKFMC_00435","EMEHFM_03630","LGKPKB_02635"
"nth","","Endonuclease III","49","49","1","63","3340","","","","617","617","617","CKDGNL_00510","AIHAAB_01040","APIDPD_01675","HCLMIK_00500","DNBOAP_01040","DLCMNL_00500","GCGJFL_01040","AMNIDF_01675","JODKDA_01670","ANPAAP_01670","KCCBHE_00500","AINDPC_01670","NAHIGD_03760","GMPCOK_02575","EFMOJC_03500","KFEJKD_01135","GDPOAI_02760","CGENMI_03760","KLACFF_01040","BOHBDJ_01040","BIKOAE_01675","BAPHAO_01040","EGFPMN_01675","JIDBHP_01675","NKPDPH_01670","PIKJEB_00495","OFFMIL_00505","JHFDLE_01670","AFNEPP_00980","HCFOCN_01670","EPICMG_00510","BLADBF_01675","KKNGOI_00515","LIJDDG_01675","HFKOMI_00495","CENHHB_00500","GDCPBO_00500","HEGNPG_01670","EFDIJO_00285","GEBMJB_00500","NCOCKI_01040","OHAJAL_00490","CIPKDF_01040","DMHAMM_01040","AGFJGC_01040","GGIAGI_00560","AEKFMC_03285","EMEHFM_00560","LGKPKB_02860"
"celA","","Phosphotransferase system cellobiose-specific component IIB","49","49","1","63","625","","","","317","317","317","CKDGNL_05450","AIHAAB_05140","APIDPD_05055","HCLMIK_05040","DNBOAP_05130","DLCMNL_04630","GCGJFL_04990","AMNIDF_05040","JODKDA_05040","ANPAAP_05490","KCCBHE_04790","AINDPC_04615","NAHIGD_04980","GMPCOK_05280","EFMOJC_00905","KFEJKD_05135","GDPOAI_04875","CGENMI_04940","KLACFF_05175","BOHBDJ_05085","BIKOAE_04960","BAPHAO_05065","EGFPMN_05150","JIDBHP_04765","NKPDPH_04575","PIKJEB_04580","OFFMIL_04630","JHFDLE_05215","AFNEPP_04855","HCFOCN_04935","EPICMG_04895","BLADBF_05140","KKNGOI_05135","LIJDDG_05135","HFKOMI_04920","CENHHB_04985","GDCPBO_04995","HEGNPG_05440","EFDIJO_04630","GEBMJB_04970","NCOCKI_05115","OHAJAL_05305","CIPKDF_05075","DMHAMM_05140","AGFJGC_05145","GGIAGI_05020","AEKFMC_05655","EMEHFM_05130","LGKPKB_04780"
"rpmC","","50S ribosomal protein L29","49","49","1","63","497","","","","200","200","200","CKDGNL_01835","AIHAAB_03970","APIDPD_00345","HCLMIK_01825","DNBOAP_03970","DLCMNL_01825","GCGJFL_03970","AMNIDF_00345","JODKDA_00345","ANPAAP_00345","KCCBHE_01825","AINDPC_00345","NAHIGD_02435","GMPCOK_01250","EFMOJC_02175","KFEJKD_00170","GDPOAI_00065","CGENMI_02435","KLACFF_03970","BOHBDJ_03970","BIKOAE_00345","BAPHAO_03970","EGFPMN_00350","JIDBHP_00345","NKPDPH_00345","PIKJEB_03885","OFFMIL_03900","JHFDLE_00345","AFNEPP_03620","HCFOCN_00345","EPICMG_03915","BLADBF_00350","KKNGOI_03915","LIJDDG_00350","HFKOMI_01820","CENHHB_01825","GDCPBO_01825","HEGNPG_00345","EFDIJO_01610","GEBMJB_01825","NCOCKI_03970","OHAJAL_01815","CIPKDF_03970","DMHAMM_03970","AGFJGC_03970","GGIAGI_01560","AEKFMC_02585","EMEHFM_01105","LGKPKB_00830"
"hslU","","HslU--HslV peptidase ATPase subunit","49","49","1","63","311","","","","1346","1346","1346","CKDGNL_02785","AIHAAB_02155","APIDPD_02785","HCLMIK_02780","DNBOAP_02155","DLCMNL_02780","GCGJFL_01975","AMNIDF_02780","JODKDA_02635","ANPAAP_03635","KCCBHE_02600","AINDPC_02760","NAHIGD_01465","GMPCOK_00280","EFMOJC_04230","KFEJKD_00560","GDPOAI_02640","CGENMI_01465","KLACFF_02155","BOHBDJ_02155","BIKOAE_02605","BAPHAO_02155","EGFPMN_02790","JIDBHP_02785","NKPDPH_02770","PIKJEB_02140","OFFMIL_01975","JHFDLE_02775","AFNEPP_05790","HCFOCN_02775","EPICMG_01980","BLADBF_02790","KKNGOI_02165","LIJDDG_02790","HFKOMI_02595","CENHHB_02780","GDCPBO_02780","HEGNPG_02775","EFDIJO_02385","GEBMJB_02780","NCOCKI_02155","OHAJAL_02770","CIPKDF_02155","DMHAMM_02155","AGFJGC_02155","GGIAGI_02250","AEKFMC_01575","EMEHFM_00065","LGKPKB_01390"
"DZANK-type domain-containing protein","","DZANK-type domain-containing protein","49","49","1","63","721","","","","356","356","356","CKDGNL_00940","AIHAAB_00610","APIDPD_01245","HCLMIK_00930","DNBOAP_00610","DLCMNL_00930","GCGJFL_00610","AMNIDF_01245","JODKDA_01240","ANPAAP_01240","KCCBHE_00930","AINDPC_01240","NAHIGD_03330","GMPCOK_02145","EFMOJC_03070","KFEJKD_00920","GDPOAI_01695","CGENMI_03330","KLACFF_00610","BOHBDJ_00610","BIKOAE_01245","BAPHAO_00610","EGFPMN_01245","JIDBHP_01245","NKPDPH_01240","PIKJEB_00925","OFFMIL_00935","JHFDLE_01240","AFNEPP_01410","HCFOCN_01240","EPICMG_00940","BLADBF_01245","KKNGOI_00945","LIJDDG_01245","HFKOMI_00925","CENHHB_00930","GDCPBO_00930","HEGNPG_01240","EFDIJO_00715","GEBMJB_00930","NCOCKI_00610","OHAJAL_00920","CIPKDF_00610","DMHAMM_00610","AGFJGC_00610","GGIAGI_03855","AEKFMC_02235","EMEHFM_03515","LGKPKB_03630"
"arcA","","arginine deiminase","49","49","1","63","3237","","","","1232","1238","1232","CKDGNL_00030","AIHAAB_01520","APIDPD_02155","HCLMIK_00020","DNBOAP_01520","DLCMNL_00020","GCGJFL_01520","AMNIDF_02155","JODKDA_02150","ANPAAP_02150","KCCBHE_00020","AINDPC_02150","NAHIGD_04245","GMPCOK_03055","EFMOJC_06125","KFEJKD_04685","GDPOAI_04895","CGENMI_04240","KLACFF_01520","BOHBDJ_01520","BIKOAE_02155","BAPHAO_01520","EGFPMN_02155","JIDBHP_02155","NKPDPH_02150","PIKJEB_00015","OFFMIL_00025","JHFDLE_02150","AFNEPP_00225","HCFOCN_02150","EPICMG_00030","BLADBF_02155","KKNGOI_00035","LIJDDG_02155","HFKOMI_00015","CENHHB_00020","GDCPBO_00020","HEGNPG_02150","EFDIJO_04045","GEBMJB_00020","NCOCKI_01520","OHAJAL_00015","CIPKDF_01520","DMHAMM_01520","AGFJGC_01520","GGIAGI_04760","AEKFMC_03230","EMEHFM_04445","LGKPKB_05775"
"DUF3298 domain-containing protein","","DUF3298 domain-containing protein","49","49","1","63","243","","","","701","701","701","CKDGNL_03125","AIHAAB_02495","APIDPD_03125","HCLMIK_03120","DNBOAP_02495","DLCMNL_03120","GCGJFL_01635","AMNIDF_03120","JODKDA_02295","ANPAAP_03295","KCCBHE_02260","AINDPC_03100","NAHIGD_01125","GMPCOK_03780","EFMOJC_03890","KFEJKD_02345","GDPOAI_01110","CGENMI_01125","KLACFF_02495","BOHBDJ_02495","BIKOAE_02265","BAPHAO_02495","EGFPMN_03130","JIDBHP_03125","NKPDPH_03110","PIKJEB_02480","OFFMIL_01635","JHFDLE_03115","AFNEPP_06130","HCFOCN_03115","EPICMG_01640","BLADBF_03130","KKNGOI_02505","LIJDDG_03130","HFKOMI_02255","CENHHB_03120","GDCPBO_03120","HEGNPG_03115","EFDIJO_02045","GEBMJB_03120","NCOCKI_02495","OHAJAL_03110","CIPKDF_02495","DMHAMM_02495","AGFJGC_02495","GGIAGI_02500","AEKFMC_03870","EMEHFM_00640","LGKPKB_04345"
"group_4089","lolA","Outer membrane lipoprotein carrier protein LolA","49","49","1","63","3346","","","","587","587","587","CKDGNL_00550","AIHAAB_01000","APIDPD_01635","HCLMIK_00540","DNBOAP_01000","DLCMNL_00540","GCGJFL_01000","AMNIDF_01635","JODKDA_01630","ANPAAP_01630","KCCBHE_00540","AINDPC_01630","NAHIGD_03720","GMPCOK_02535","EFMOJC_03460","KFEJKD_01095","GDPOAI_02800","CGENMI_03720","KLACFF_01000","BOHBDJ_01000","BIKOAE_01635","BAPHAO_01000","EGFPMN_01635","JIDBHP_01635","NKPDPH_01630","PIKJEB_00535","OFFMIL_00545","JHFDLE_01630","AFNEPP_01020","HCFOCN_01630","EPICMG_00550","BLADBF_01635","KKNGOI_00555","LIJDDG_01635","HFKOMI_00535","CENHHB_00540","GDCPBO_00540","HEGNPG_01630","EFDIJO_00325","GEBMJB_00540","NCOCKI_01000","OHAJAL_00530","CIPKDF_01000","DMHAMM_01000","AGFJGC_01000","GGIAGI_00600","AEKFMC_03245","EMEHFM_00520","LGKPKB_02820"
"DUF3784 domain-containing protein","","DUF3784 domain-containing protein","49","49","1","63","440","","","","317","317","317","CKDGNL_02140","AIHAAB_03665","APIDPD_00040","HCLMIK_02130","DNBOAP_03665","DLCMNL_02130","GCGJFL_03665","AMNIDF_00040","JODKDA_00040","ANPAAP_00040","KCCBHE_02130","AINDPC_00040","NAHIGD_02130","GMPCOK_00945","EFMOJC_04890","KFEJKD_04070","GDPOAI_04220","CGENMI_02130","KLACFF_03665","BOHBDJ_03665","BIKOAE_00040","BAPHAO_03665","EGFPMN_00045","JIDBHP_00040","NKPDPH_00040","PIKJEB_04190","OFFMIL_04205","JHFDLE_00040","AFNEPP_03925","HCFOCN_00040","EPICMG_04220","BLADBF_00045","KKNGOI_04220","LIJDDG_00045","HFKOMI_02125","CENHHB_02130","GDCPBO_02130","HEGNPG_00040","EFDIJO_01915","GEBMJB_02130","NCOCKI_03665","OHAJAL_02120","CIPKDF_03665","DMHAMM_03665","AGFJGC_03665","GGIAGI_03060","AEKFMC_05075","EMEHFM_03910","LGKPKB_02050"
"group_4092","ptsN","Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)","49","49","1","63","687","","","","1871","1871","1871","CKDGNL_01105","AIHAAB_00445","APIDPD_01080","HCLMIK_01095","DNBOAP_00445","DLCMNL_01095","GCGJFL_00445","AMNIDF_01080","JODKDA_01075","ANPAAP_01075","KCCBHE_01095","AINDPC_01075","NAHIGD_03165","GMPCOK_01980","EFMOJC_02905","KFEJKD_01785","GDPOAI_03195","CGENMI_03165","KLACFF_00445","BOHBDJ_00445","BIKOAE_01080","BAPHAO_00445","EGFPMN_01080","JIDBHP_01080","NKPDPH_01075","PIKJEB_01090","OFFMIL_01100","JHFDLE_01075","AFNEPP_01575","HCFOCN_01075","EPICMG_01105","BLADBF_01080","KKNGOI_01110","LIJDDG_01080","HFKOMI_01090","CENHHB_01095","GDCPBO_01095","HEGNPG_01075","EFDIJO_00880","GEBMJB_01095","NCOCKI_00445","OHAJAL_01085","CIPKDF_00445","DMHAMM_00445","AGFJGC_00445","GGIAGI_02105","AEKFMC_00890","EMEHFM_03000","LGKPKB_00100"
"pgk","","Phosphoglycerate kinase","49","49","1","63","72","","","","1181","1181","1181","CKDGNL_03975","AIHAAB_03345","APIDPD_03975","HCLMIK_03970","DNBOAP_03345","DLCMNL_03970","GCGJFL_02865","AMNIDF_03970","JODKDA_03525","ANPAAP_02440","KCCBHE_03485","AINDPC_03950","NAHIGD_00275","GMPCOK_04120","EFMOJC_05805","KFEJKD_01275","GDPOAI_00905","CGENMI_00275","KLACFF_03345","BOHBDJ_03345","BIKOAE_03490","BAPHAO_03345","EGFPMN_03980","JIDBHP_03975","NKPDPH_03960","PIKJEB_03330","OFFMIL_02860","JHFDLE_03965","AFNEPP_06980","HCFOCN_03965","EPICMG_02875","BLADBF_03980","KKNGOI_03355","LIJDDG_03980","HFKOMI_03480","CENHHB_03970","GDCPBO_03970","HEGNPG_03965","EFDIJO_03755","GEBMJB_03970","NCOCKI_03345","OHAJAL_03960","CIPKDF_03345","DMHAMM_03345","AGFJGC_03345","GGIAGI_01225","AEKFMC_00275","EMEHFM_00430","LGKPKB_03290"
"Plasmid partition protein","","Plasmid partition protein","49","49","1","64","83","","","","317","317","317","CKDGNL_04390","AIHAAB_04395","APIDPD_04390","HCLMIK_04385","DNBOAP_04395","DLCMNL_04385","GCGJFL_04430","AMNIDF_04385","JODKDA_04425","ANPAAP_04385","KCCBHE_04385","AINDPC_04405","NAHIGD_04400","GMPCOK_04400","EFMOJC_00285","KFEJKD_00805","GDPOAI_01380","CGENMI_04395","KLACFF_04395","BOHBDJ_04395","BIKOAE_04390","BAPHAO_04395","EGFPMN_04400","JIDBHP_04390","NKPDPH_04340","PIKJEB_04335","OFFMIL_04390","JHFDLE_04735","AFNEPP_04610","HCFOCN_04385","EPICMG_04405","BLADBF_04435","KKNGOI_04405","LIJDDG_04400","HFKOMI_04380","CENHHB_04385","GDCPBO_04385","HEGNPG_04415","EFDIJO_04385","GEBMJB_04385","NCOCKI_04395","OHAJAL_04940","CIPKDF_04395","DMHAMM_04395","AGFJGC_04395","GGIAGI_02830","AEKFMC_04060","EMEHFM_01400","LGKPKB_04175"
"rpmI","","50S ribosomal protein L35","49","49","1","63","206","","","","200","200","200","CKDGNL_03330","AIHAAB_02700","APIDPD_03330","HCLMIK_03325","DNBOAP_02700","DLCMNL_03325","GCGJFL_03510","AMNIDF_03325","JODKDA_04170","ANPAAP_03085","KCCBHE_04130","AINDPC_03305","NAHIGD_00920","GMPCOK_03575","EFMOJC_05025","KFEJKD_00580","GDPOAI_05645","CGENMI_00920","KLACFF_02700","BOHBDJ_02700","BIKOAE_04135","BAPHAO_02700","EGFPMN_03335","JIDBHP_03330","NKPDPH_03315","PIKJEB_02685","OFFMIL_03505","JHFDLE_03320","AFNEPP_06335","HCFOCN_03320","EPICMG_03520","BLADBF_03335","KKNGOI_02710","LIJDDG_03335","HFKOMI_04125","CENHHB_03325","GDCPBO_03325","HEGNPG_03320","EFDIJO_03110","GEBMJB_03325","NCOCKI_02700","OHAJAL_03315","CIPKDF_02700","DMHAMM_02700","AGFJGC_02700","GGIAGI_02410","AEKFMC_03780","EMEHFM_00995","LGKPKB_02150"
"rnhB","","ribonuclease HII","49","49","1","63","64","","","","545","545","545","CKDGNL_04025","AIHAAB_03395","APIDPD_04025","HCLMIK_04020","DNBOAP_03395","DLCMNL_04020","GCGJFL_02815","AMNIDF_04020","JODKDA_03475","ANPAAP_02390","KCCBHE_03435","AINDPC_04000","NAHIGD_00225","GMPCOK_04070","EFMOJC_05755","KFEJKD_01225","GDPOAI_00955","CGENMI_00225","KLACFF_03395","BOHBDJ_03395","BIKOAE_03440","BAPHAO_03395","EGFPMN_04030","JIDBHP_04025","NKPDPH_04010","PIKJEB_03380","OFFMIL_02810","JHFDLE_04015","AFNEPP_07030","HCFOCN_04015","EPICMG_02825","BLADBF_04030","KKNGOI_03405","LIJDDG_04030","HFKOMI_03430","CENHHB_04020","GDCPBO_04020","HEGNPG_04015","EFDIJO_03805","GEBMJB_04020","NCOCKI_03395","OHAJAL_04010","CIPKDF_03395","DMHAMM_03395","AGFJGC_03395","GGIAGI_01275","AEKFMC_00225","EMEHFM_00480","LGKPKB_03340"
"rCL","","2'-deoxyribosyltransferase","49","49","1","63","438","","","","548","548","548","CKDGNL_02150","AIHAAB_03655","APIDPD_00030","HCLMIK_02140","DNBOAP_03655","DLCMNL_02140","GCGJFL_03655","AMNIDF_00030","JODKDA_00030","ANPAAP_00030","KCCBHE_02140","AINDPC_00030","NAHIGD_02120","GMPCOK_00935","EFMOJC_04880","KFEJKD_04080","GDPOAI_04210","CGENMI_02120","KLACFF_03655","BOHBDJ_03655","BIKOAE_00030","BAPHAO_03655","EGFPMN_00035","JIDBHP_00030","NKPDPH_00030","PIKJEB_04200","OFFMIL_04215","JHFDLE_00030","AFNEPP_03935","HCFOCN_00030","EPICMG_04230","BLADBF_00035","KKNGOI_04230","LIJDDG_00035","HFKOMI_02135","CENHHB_02140","GDCPBO_02140","HEGNPG_00030","EFDIJO_01925","GEBMJB_02140","NCOCKI_03655","OHAJAL_02130","CIPKDF_03655","DMHAMM_03655","AGFJGC_03655","GGIAGI_03070","AEKFMC_05085","EMEHFM_03920","LGKPKB_02040"
"trxA","","thioredoxin","49","49","1","63","77","","","","353","353","353","CKDGNL_03950","AIHAAB_03320","APIDPD_03950","HCLMIK_03945","DNBOAP_03320","DLCMNL_03945","GCGJFL_02890","AMNIDF_03945","JODKDA_03550","ANPAAP_02465","KCCBHE_03510","AINDPC_03925","NAHIGD_00300","GMPCOK_04145","EFMOJC_05830","KFEJKD_01300","GDPOAI_00880","CGENMI_00300","KLACFF_03320","BOHBDJ_03320","BIKOAE_03515","BAPHAO_03320","EGFPMN_03955","JIDBHP_03950","NKPDPH_03935","PIKJEB_03305","OFFMIL_02885","JHFDLE_03940","AFNEPP_06955","HCFOCN_03940","EPICMG_02900","BLADBF_03955","KKNGOI_03330","LIJDDG_03955","HFKOMI_03505","CENHHB_03945","GDCPBO_03945","HEGNPG_03940","EFDIJO_03730","GEBMJB_03945","NCOCKI_03320","OHAJAL_03935","CIPKDF_03320","DMHAMM_03320","AGFJGC_03320","GGIAGI_01200","AEKFMC_00300","EMEHFM_00405","LGKPKB_03265"
"ddl","","D-alanine--D-alanine ligase","49","49","1","63","216","","","","1085","1085","1085","CKDGNL_03280","AIHAAB_02650","APIDPD_03280","HCLMIK_03275","DNBOAP_02650","DLCMNL_03275","GCGJFL_03560","AMNIDF_03275","JODKDA_04220","ANPAAP_03140","KCCBHE_04180","AINDPC_03255","NAHIGD_00970","GMPCOK_03625","EFMOJC_04975","KFEJKD_02850","GDPOAI_04315","CGENMI_00970","KLACFF_02650","BOHBDJ_02650","BIKOAE_04185","BAPHAO_02650","EGFPMN_03285","JIDBHP_03280","NKPDPH_03265","PIKJEB_02635","OFFMIL_03555","JHFDLE_03270","AFNEPP_06285","HCFOCN_03270","EPICMG_03570","BLADBF_03285","KKNGOI_02660","LIJDDG_03285","HFKOMI_04175","CENHHB_03275","GDCPBO_03275","HEGNPG_03270","EFDIJO_03060","GEBMJB_03275","NCOCKI_02650","OHAJAL_03265","CIPKDF_02650","DMHAMM_02650","AGFJGC_02650","GGIAGI_04890","AEKFMC_05170","EMEHFM_03455","LGKPKB_02100"
"lnt","","apolipoprotein N-acyltransferase","49","49","1","63","253","","","","1565","1565","1565","CKDGNL_03075","AIHAAB_02445","APIDPD_03075","HCLMIK_03070","DNBOAP_02445","DLCMNL_03070","GCGJFL_01685","AMNIDF_03070","JODKDA_02345","ANPAAP_03345","KCCBHE_02310","AINDPC_03050","NAHIGD_01175","GMPCOK_03830","EFMOJC_03940","KFEJKD_04435","GDPOAI_04175","CGENMI_01175","KLACFF_02445","BOHBDJ_02445","BIKOAE_02315","BAPHAO_02445","EGFPMN_03080","JIDBHP_03075","NKPDPH_03060","PIKJEB_02430","OFFMIL_01685","JHFDLE_03065","AFNEPP_06080","HCFOCN_03065","EPICMG_01690","BLADBF_03080","KKNGOI_02455","LIJDDG_03080","HFKOMI_02305","CENHHB_03070","GDCPBO_03070","HEGNPG_03065","EFDIJO_02095","GEBMJB_03070","NCOCKI_02445","OHAJAL_03060","CIPKDF_02445","DMHAMM_02445","AGFJGC_02445","GGIAGI_02450","AEKFMC_03820","EMEHFM_03350","LGKPKB_04295"
