CFHKPG_00001	Uncharacterized protein BB_0001
CFHKPG_00911	DUF735 domain-containing protein
CFHKPG_00912	DUF276 domain-containing protein
CFHKPG_00913	DUF2634 domain-containing protein
CFHKPG_00914	BBA07 family lipoprotein
CFHKPG_00915	Antigen, S1
CFHKPG_00916	group_2093
CFHKPG_00917	Putative outer membrane protein BBA03
CFHKPG_00918	group_2096
CFHKPG_00919	group_2676
CFHKPG_00920	Borrelia burgdorferi virulent strain associated lipofamily protein
CFHKPG_00921	group_2674
CFHKPG_00922	group_2673
CFHKPG_00923	group_2672
CFHKPG_00924	group_1468
CFHKPG_00925	group_2671
CFHKPG_00926	group_2670
CFHKPG_00927	group_2669
CFHKPG_00928	group_655
CFHKPG_00929	group_3411
CFHKPG_00930	group_493
CFHKPG_00931	DUF1073 domain-containing protein
CFHKPG_00933	group_429
CFHKPG_00934	group_107
CFHKPG_00935	DUF643 domain-containing protein
CFHKPG_00936	erpX
CFHKPG_00937	group_1113
CFHKPG_00938	group_4200
CFHKPG_00939	group_49
CFHKPG_00940	group_1222
CFHKPG_00941	group_2102
CFHKPG_00942	group_1804
CFHKPG_00943	group_1029
CFHKPG_00944	group_355
CFHKPG_00945	group_4358
CFHKPG_00946	mlpJ
CFHKPG_00947	bdrW
CFHKPG_00948	group_3564
CFHKPG_00949	group_3842
CFHKPG_00950	group_3253
CFHKPG_00951	blyA
CFHKPG_00952	group_577
CFHKPG_00953	ORF09/2-9 ORF7
CFHKPG_00954	group_327
CFHKPG_00955	group_3478
CFHKPG_00956	group_956
CFHKPG_00957	ORF05
CFHKPG_00958	group_369
CFHKPG_00959	group_25
CFHKPG_00960	group_3700
CFHKPG_00961	group_4426
CFHKPG_00962	group_3931
CFHKPG_00963	group_282
CFHKPG_00964	group_584
CFHKPG_00965	group_3327
CFHKPG_00966	group_3960
CFHKPG_00967	group_713
CFHKPG_00968	group_3551
CFHKPG_00969	group_535
CFHKPG_00970	group_2667
CFHKPG_00971	group_2666
CFHKPG_00972	group_2100
CFHKPG_00973	group_1878
CFHKPG_00974	group_2200
CFHKPG_00975	group_2665
CFHKPG_00976	group_2072
CFHKPG_00977	group_2358
CFHKPG_00978	group_2360
CFHKPG_00979	group_2074
CFHKPG_00980	group_1255
CFHKPG_00981	group_1252
CFHKPG_00982	group_2076
CFHKPG_00983	group_2082
CFHKPG_00984	group_1256
CFHKPG_00985	group_1257
CFHKPG_00986	group_2075
CFHKPG_00987	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein
CFHKPG_00988	group_2357
CFHKPG_00989	group_2073
CFHKPG_00990	group_1246
CFHKPG_00991	group_1788
CFHKPG_00992	group_1248
CFHKPG_00993	group_1361
CFHKPG_00994	group_1790
CFHKPG_00995	group_1245
CFHKPG_00996	group_1787
CFHKPG_00997	Outer membrane lipoprotein-sorting protein
CFHKPG_00998	group_2071
CFHKPG_00999	group_2355
CFHKPG_01000	group_2354
CFHKPG_01001	group_2353
CFHKPG_01002	group_3060
CFHKPG_01003	group_2662
CFHKPG_01004	group_2455
CFHKPG_01005	group_2070
CFHKPG_01006	group_2069
CFHKPG_01007	group_1612
CFHKPG_01008	group_1786
CFHKPG_01009	DUF1640 domain-containing protein
CFHKPG_01010	ospD
CFHKPG_01011	group_1244
CFHKPG_01012	group_1527
CFHKPG_01013	putative antigen P35
CFHKPG_01014	Bbk50-like
CFHKPG_01015	Bbk49-like
CFHKPG_01016	Immunogenic protein P37, putative
CFHKPG_01017	Bbk47-like
CFHKPG_01018	Bbk46-like
CFHKPG_01019	group_1819
CFHKPG_01020	Immunogenic protein P37
CFHKPG_01021	group_2510
CFHKPG_01022	Uncharacterized protein BB_K41
CFHKPG_01023	fzo-like conserved region
CFHKPG_01024	group_2152
CFHKPG_01025	Variable large protein
CFHKPG_01026	group_2153
CFHKPG_01027	group_1857
CFHKPG_01028	group_1598
CFHKPG_01029	fibronectin-binding protein
CFHKPG_01030	group_1004
CFHKPG_01031	group_1785
CFHKPG_01032	group_2345
CFHKPG_01033	group_2343
CFHKPG_01034	Borrelia family protein PFam57/62
CFHKPG_01035	DUF226 domain-containing protein
CFHKPG_01036	group_2337
CFHKPG_01037	group_2064
CFHKPG_01038	ade
CFHKPG_01039	Putative antigen, P35
CFHKPG_01040	sIMPL
CFHKPG_01041	group_1133
CFHKPG_01042	group_2513
CFHKPG_01043	group_1783
CFHKPG_01044	group_1131
CFHKPG_01045	N-6 DNA methylase
CFHKPG_01046	group_2514
CFHKPG_01047	group_2155
CFHKPG_01048	group_1143
CFHKPG_01049	group_1391
CFHKPG_01050	Putative vls recombination cassette Vls16a
CFHKPG_01051	Putative vls recombination cassette Vls14a
CFHKPG_01052	group_692
CFHKPG_01053	group_2677
CFHKPG_01054	group_2678
CFHKPG_01055	group_2174
CFHKPG_01056	group_2604
CFHKPG_01057	group_2175
CFHKPG_01058	group_2679
CFHKPG_01059	Borrelia ORF-A superfamily
CFHKPG_01060	group_2177
CFHKPG_01061	group_2605
CFHKPG_01062	group_2178
CFHKPG_01063	group_2606
CFHKPG_01064	Uncharacterized lipoprotein BBF20
CFHKPG_01065	transposase
CFHKPG_01066	Transmembrane protein
CFHKPG_01067	group_1599
CFHKPG_01068	group_2321
CFHKPG_01069	group_2320
CFHKPG_01070	group_1760
CFHKPG_01071	Putative plasmid partition protein
CFHKPG_01072	group_1834
CFHKPG_01073	group_1879
CFHKPG_01074	group_2682
CFHKPG_01075	erpD
CFHKPG_01076	group_1886
CFHKPG_01078	group_2323
CFHKPG_01079	group_2683
CFHKPG_01080	group_1882
CFHKPG_01081	group_2252
CFHKPG_01082	group_2173
CFHKPG_01083	Blasticidin-S acetyltransferase
CFHKPG_01084	group_2600
CFHKPG_01085	group_1748
CFHKPG_01086	group_1747
CFHKPG_01087	pncA
CFHKPG_01088	group_1592
CFHKPG_01089	Partition protein
CFHKPG_01090	group_2309
CFHKPG_01091	group_2030
CFHKPG_01092	Borrelial persistence in ticks protein A
CFHKPG_01093	group_2689
CFHKPG_01094	group_1590
CFHKPG_01095	group_2029
CFHKPG_01096	group_1233
CFHKPG_01097	Uncharacterized domain protein
CFHKPG_01098	Type I restriction enzyme R protein (HSDR_N)
CFHKPG_01099	group_1084
CFHKPG_01100	group_2601
CFHKPG_01101	group_504
CFHKPG_01102	group_4468
CFHKPG_01103	group_4401
CFHKPG_01104	DUF228 domain-containing protein
CFHKPG_01105	group_3549
CFHKPG_01106	group_716
CFHKPG_01107	group_3957
CFHKPG_01108	group_949
CFHKPG_01109	group_588
CFHKPG_01110	group_271
CFHKPG_01111	group_4123
CFHKPG_01112	group_4443
CFHKPG_01113	group_3701
CFHKPG_01114	DUF759 domain-containing protein
CFHKPG_01115	DUF792 domain-containing protein
CFHKPG_01116	group_913
CFHKPG_01117	group_953
CFHKPG_01118	group_3479
CFHKPG_01119	group_333
CFHKPG_01120	group_3584
CFHKPG_01121	group_576
CFHKPG_01122	group_3755
CFHKPG_01123	group_838
CFHKPG_01124	Borrelia BBR25 lipoprotein
CFHKPG_01125	group_3560
CFHKPG_01126	revA
CFHKPG_01127	group_1999
CFHKPG_01128	group_2472
CFHKPG_01129	group_4360
CFHKPG_01130	group_350
CFHKPG_01131	group_1024
CFHKPG_01132	group_1742
CFHKPG_01133	group_2294
CFHKPG_01134	bdrM
CFHKPG_01135	group_54
CFHKPG_01136	DUF244 domain-containing protein
CFHKPG_01137	group_817
CFHKPG_01138	group_4188
CFHKPG_01139	erpC
CFHKPG_01140	Erp22 protein
CFHKPG_01141	group_1373
CFHKPG_01142	group_132
CFHKPG_01143	group_445
CFHKPG_01144	group_227
CFHKPG_01145	group_3278
CFHKPG_01146	group_3202
CFHKPG_01147	group_1151
CFHKPG_01148	group_540
CFHKPG_01149	group_417
CFHKPG_01150	group_732
CFHKPG_01151	group_1095
CFHKPG_01152	group_3318
CFHKPG_01153	group_581
CFHKPG_01154	group_286
CFHKPG_01155	group_3941
CFHKPG_01156	group_4432
CFHKPG_01157	group_882
CFHKPG_01158	group_14
CFHKPG_01159	group_382
CFHKPG_01160	group_4161
CFHKPG_01161	group_963
CFHKPG_01162	group_3487
CFHKPG_01163	group_318
CFHKPG_01164	group_3733
CFHKPG_01165	group_572
CFHKPG_01167	group_3254
CFHKPG_01169	group_3639
CFHKPG_01170	group_709
CFHKPG_01171	mlpH
CFHKPG_01172	group_241
CFHKPG_01173	group_357
CFHKPG_01174	group_1021
CFHKPG_01175	group_2005
CFHKPG_01176	group_2280
CFHKPG_01177	bdrO
CFHKPG_01178	group_4050
CFHKPG_01179	group_3810
CFHKPG_01180	group_1335
CFHKPG_01181	group_2651
CFHKPG_01182	group_1659
CFHKPG_01183	group_1371
CFHKPG_01184	group_159
CFHKPG_01185	group_4420
CFHKPG_01186	group_229
CFHKPG_01187	group_3277
CFHKPG_01188	group_3199
CFHKPG_01189	group_1152
CFHKPG_01191	group_424
CFHKPG_01196	group_287
CFHKPG_01199	group_883
CFHKPG_01202	group_4162
CFHKPG_01209	group_3255
CFHKPG_01211	group_3640
CFHKPG_01212	group_706
CFHKPG_01213	group_2221
CFHKPG_01215	group_835
CFHKPG_01216	group_1020
CFHKPG_01217	group_1854
CFHKPG_01218	group_2160
CFHKPG_01219	bdrA
CFHKPG_01220	group_67
CFHKPG_01221	group_811
CFHKPG_01222	group_1334
CFHKPG_01223	erpA
CFHKPG_01224	Erp51 protein
CFHKPG_01225	group_1365
CFHKPG_01226	group_131
CFHKPG_01227	group_4403
CFHKPG_01228	group_196
CFHKPG_01231	group_148
CFHKPG_01232	group_998
CFHKPG_01233	group_2142
CFHKPG_01234	group_2470
CFHKPG_01235	group_4191
CFHKPG_01236	group_3804
CFHKPG_01237	group_90
CFHKPG_01238	group_1445
CFHKPG_01239	group_2014
CFHKPG_01240	PF-32 protein
CFHKPG_01241	group_3723
CFHKPG_01242	group_344
CFHKPG_01243	group_4354
CFHKPG_01244	Mlp family lipoprotein
CFHKPG_01245	group_2469
CFHKPG_01246	group_3569
CFHKPG_01247	group_3852
CFHKPG_01248	group_3256
CFHKPG_01249	group_3773
CFHKPG_01250	group_1058
CFHKPG_01251	group_752
CFHKPG_01252	group_325
CFHKPG_01253	group_1045
CFHKPG_01254	group_1520
CFHKPG_01255	group_784
CFHKPG_01257	group_4079
CFHKPG_01258	group_4427
CFHKPG_01259	group_674
CFHKPG_01260	group_268
CFHKPG_01261	group_585
CFHKPG_01263	group_3962
CFHKPG_01264	group_720
CFHKPG_01265	group_401
CFHKPG_01266	group_400
CFHKPG_01267	group_3443
CFHKPG_01268	group_3901
CFHKPG_01269	group_3196
CFHKPG_01270	group_516
CFHKPG_01271	group_381
CFHKPG_01272	group_32
CFHKPG_01273	group_885
CFHKPG_01274	group_4431
CFHKPG_01276	group_288
CFHKPG_01277	group_595
CFHKPG_01281	group_404
CFHKPG_01283	group_1160
CFHKPG_01284	group_3200
CFHKPG_01286	group_3500
CFHKPG_01287	group_4408
CFHKPG_01288	group_134
CFHKPG_01289	group_1370
CFHKPG_01290	group_1660
CFHKPG_01291	group_2652
CFHKPG_01292	group_1336
CFHKPG_01293	group_816
CFHKPG_01294	group_4051
CFHKPG_01295	Bdr
CFHKPG_01296	group_2002
CFHKPG_01297	group_2001
CFHKPG_01298	group_4296
CFHKPG_01299	group_340
CFHKPG_01300	group_242
CFHKPG_01301	group_2222
CFHKPG_01302	group_707
CFHKPG_01303	group_3638
CFHKPG_01305	group_3257
CFHKPG_01308	group_3732
CFHKPG_01309	group_322
CFHKPG_01310	group_3491
CFHKPG_01312	group_918
CFHKPG_01313	mlpI
CFHKPG_01314	bdrR
CFHKPG_01315	group_899
CFHKPG_01316	group_3856
CFHKPG_01317	Biotin--acetyl-CoA-carboxylase ligase
CFHKPG_01318	group_3759
CFHKPG_01319	group_562
CFHKPG_01320	group_753
CFHKPG_01322	group_3468
CFHKPG_01324	group_4152
CFHKPG_01325	group_373
CFHKPG_01326	group_3
CFHKPG_01327	group_3690
CFHKPG_01328	group_4428
CFHKPG_01329	group_3936
CFHKPG_01330	group_292
CFHKPG_01331	group_4067
CFHKPG_01332	Plasmid cp32-4, sequence at position 4-6kb
CFHKPG_01333	group_3968
CFHKPG_01334	group_722
CFHKPG_01335	group_3541
CFHKPG_01336	group_518
CFHKPG_01337	group_652
CFHKPG_01338	group_4470
CFHKPG_01339	group_494
CFHKPG_01341	group_432
CFHKPG_01342	group_116
CFHKPG_01343	group_2560
CFHKPG_01344	erpQ
CFHKPG_01345	erpP
CFHKPG_01346	group_1498
CFHKPG_01347	Tyr recombinase domain-containing protein
CFHKPG_01348	group_822
CFHKPG_01349	group_56
CFHKPG_01350	group_1852
CFHKPG_01351	group_1812
CFHKPG_01352	group_2112
CFHKPG_01353	group_1027
CFHKPG_01354	group_359
CFHKPG_01355	Single-stranded DNA-binding protein
CFHKPG_01356	group_1183
CFHKPG_01357	group_942
CFHKPG_01358	group_4071
CFHKPG_01359	group_4352
CFHKPG_01360	group_3937
CFHKPG_01361	group_4429
CFHKPG_01362	group_3694
CFHKPG_01363	group_2
CFHKPG_01365	group_4158
CFHKPG_01366	group_960
CFHKPG_01367	group_3470
CFHKPG_01369	group_3738
CFHKPG_01370	group_1059
CFHKPG_01372	ORF12/BlyB
CFHKPG_01374	group_3645
CFHKPG_01375	bdrH
CFHKPG_01376	mlpD
CFHKPG_01377	group_1184
CFHKPG_01378	group_345
CFHKPG_01379	group_3714
CFHKPG_01380	group_2009
CFHKPG_01381	group_2010
CFHKPG_01382	group_2655
CFHKPG_01383	yqaJ
CFHKPG_01384	group_806
CFHKPG_01385	Putative phage integrase
CFHKPG_01386	erpH
CFHKPG_01387	Borrelia outer surface protein E
CFHKPG_01388	erpY
CFHKPG_01389	group_990
CFHKPG_01390	DUF603 domain-containing protein
CFHKPG_01391	group_433
CFHKPG_01393	group_2197
CFHKPG_01394	PF-49 protein
CFHKPG_01395	group_1168
CFHKPG_01397	group_517
CFHKPG_01398	group_407
CFHKPG_01400	group_3966
CFHKPG_01401	REP+ protein
CFHKPG_01402	group_2007
CFHKPG_01403	group_4301
CFHKPG_01404	group_3857
CFHKPG_01405	group_3252
CFHKPG_01407	DUF685 domain-containing protein
CFHKPG_01408	group_3730
CFHKPG_01409	group_3139
CFHKPG_01410	group_3484
CFHKPG_01411	group_971
CFHKPG_01412	group_4163
CFHKPG_01414	Phage tail tape measure protein
CFHKPG_01415	group_872
CFHKPG_01418	group_289
CFHKPG_01420	group_3319
CFHKPG_01421	group_1096
CFHKPG_01422	group_737
CFHKPG_01423	group_405
CFHKPG_01424	group_3444
CFHKPG_01425	group_1150
CFHKPG_01426	group_3198
CFHKPG_01427	group_3288
CFHKPG_01428	group_3515
CFHKPG_01429	group_4033
CFHKPG_01430	group_135
CFHKPG_01431	group_2653
CFHKPG_01432	group_1554
CFHKPG_01433	erpG
CFHKPG_01434	group_1441
CFHKPG_01436	group_4055
CFHKPG_01437	group_1224
CFHKPG_01438	group_2270
CFHKPG_01439	group_1580
CFHKPG_01440	group_4298
CFHKPG_01441	group_825
CFHKPG_01442	2-9-5 36K minus strand ORF
CFHKPG_01443	group_2292
CFHKPG_01444	group_3562
CFHKPG_01446	group_845
CFHKPG_01449	group_3583
CFHKPG_01455	group_19
CFHKPG_01456	group_880
CFHKPG_01457	group_4435
CFHKPG_01458	group_3939
CFHKPG_01459	group_265
CFHKPG_01460	group_603
CFHKPG_01461	group_943
CFHKPG_01462	group_3982
CFHKPG_01463	group_3795
CFHKPG_01464	group_3550
CFHKPG_01465	group_538
CFHKPG_01466	group_4395
CFHKPG_01467	group_4474
CFHKPG_01468	group_507
CFHKPG_01469	group_3522
CFHKPG_01470	group_4041
CFHKPG_01471	group_123
CFHKPG_01472	group_2754
CFHKPG_01473	erpK
CFHKPG_01474	bppC
CFHKPG_01475	group_810
CFHKPG_01476	group_64
CFHKPG_01477	KID repeat family protein
CFHKPG_01478	group_2018
CFHKPG_01479	group_2015
CFHKPG_01480	group_4299
CFHKPG_01481	group_1127
CFHKPG_01482	group_4361
CFHKPG_01483	P12 family lipoprotein
CFHKPG_01484	putative helicase
CFHKPG_01485	group_1197
CFHKPG_01486	group_1198
CFHKPG_01487	insQ
CFHKPG_01489	group_2117
CFHKPG_01490	group_2440
CFHKPG_01491	group_2441
CFHKPG_01492	group_2118
CFHKPG_01493	Tape measure domain protein
CFHKPG_01494	rdgC
CFHKPG_01495	group_4332
CFHKPG_01496	group_1770
CFHKPG_01497	HK97 gp10 family phage protein
CFHKPG_01498	group_2052
CFHKPG_01499	group_1596
CFHKPG_01500	3D domain-containing protein
CFHKPG_01501	Terminase
CFHKPG_01502	group_1466
CFHKPG_01503	group_2333
CFHKPG_01504	Mlp lipoprotein family protein
CFHKPG_01505	group_2597
CFHKPG_01506	group_1116
CFHKPG_01507	Right handed beta helix domain-containing protein
CFHKPG_01508	group_2099
CFHKPG_01509	group_2098
CFHKPG_01510	DUF261 domain-containing protein
CFHKPG_01511	group_2171
CFHKPG_01512	group_2596
CFHKPG_01513	group_2595
CFHKPG_01514	group_2594
CFHKPG_01515	Replicative helicase
CFHKPG_01516	group_2593
CFHKPG_01517	group_1274
CFHKPG_01518	group_1589
CFHKPG_01519	yeeA
CFHKPG_01520	group_2589
CFHKPG_01521	repU
CFHKPG_01522	group_1524
CFHKPG_01523	group_1593
CFHKPG_01524	group_1594
CFHKPG_01525	group_1544
CFHKPG_01526	group_2032
CFHKPG_01527	group_2034
CFHKPG_01528	group_2315
CFHKPG_01529	Antigen, P35, putative
CFHKPG_01530	adeC
CFHKPG_01531	group_1891
CFHKPG_01532	group_463
CFHKPG_01533	group_2170
CFHKPG_01534	group_2169
CFHKPG_01535	group_858
CFHKPG_01536	Transposase putative helix-turn-helix domain-containing protein
CFHKPG_01537	group_1831
CFHKPG_01538	Surface antigen
CFHKPG_01539	group_1825
CFHKPG_01541	Borrelia virulent strain associated lipoprotein, paralogous family 60
CFHKPG_01542	group_1824
CFHKPG_01543	Borrelia burgdorferi virulent strain associated lipoprotein
CFHKPG_01544	group_1302
CFHKPG_01545	group_1303
CFHKPG_01546	Transporter, major facilitator family
CFHKPG_01547	group_2448
CFHKPG_01548	group_2447
CFHKPG_01549	Borrelia family protein
CFHKPG_01550	BBC01
CFHKPG_01551	Virulent strain associated lipoprotein
CFHKPG_01552	group_1626
CFHKPG_01553	Transposase
CFHKPG_01554	group_1823
CFHKPG_01555	group_2444
CFHKPG_01556	Borrelia ORF-A
CFHKPG_01557	group_1735
CFHKPG_01558	group_1260
CFHKPG_01559	group_1423
CFHKPG_01560	group_1213
CFHKPG_01561	group_1736
CFHKPG_01562	Oligopeptide permease-like protein
CFHKPG_01563	group_1424
CFHKPG_01564	guaB
CFHKPG_01565	guaA
CFHKPG_01566	ospC
CFHKPG_01567	group_1573
CFHKPG_01568	nCS2
CFHKPG_01569	group_2267
CFHKPG_01570	group_2268
CFHKPG_01571	immA
CFHKPG_01572	group_1574
CFHKPG_01573	Putative ankyrin repeat protein BB_B28
CFHKPG_01574	group_1427
CFHKPG_01575	acyP
CFHKPG_01576	group_2163
CFHKPG_01577	resT
CFHKPG_01578	celB
CFHKPG_01579	celC
CFHKPG_01580	celA
CFHKPG_01581	alpha3-beta1 integrin-binding protein
CFHKPG_01582	group_1529
CFHKPG_01583	group_1412
CFHKPG_01584	group_1413
CFHKPG_01585	group_1299
CFHKPG_01586	cdsE
CFHKPG_01587	group_2114
CFHKPG_01588	group_3833
CFHKPG_01589	Uncharacterized lipoprotein BBD10
CFHKPG_01590	Uncharacterized protein BBD11
CFHKPG_01591	Homing endonuclease LAGLIDADG domain-containing protein
CFHKPG_01592	BBD14-like protein
CFHKPG_01593	Uncharacterized membrane protein BB_D15
CFHKPG_01594	Uncharacterized protein BBD18
CFHKPG_01595	group_3462
CFHKPG_01596	Uncharacterized protein BBD22
CFHKPG_01597	group_3555
CFHKPG_01598	group_3461
CFHKPG_01599	group_1537
CFHKPG_01600	group_2873
CFHKPG_01601	group_2138
CFHKPG_01602	tM2
CFHKPG_01603	group_1841
CFHKPG_01604	group_1634
CFHKPG_01605	group_1638
CFHKPG_01606	group_1839
CFHKPG_01607	group_1359
CFHKPG_01608	group_2137
CFHKPG_01609	group_2875
CFHKPG_01610	group_1539
CFHKPG_01611	group_2456
CFHKPG_01612	group_798
CFHKPG_01613	group_1406
CFHKPG_01614	group_1341
EDIMDB_00890	group_2131
EDIMDB_00891	group_1629
EDIMDB_00909	group_1830
EDIMDB_00981	group_1253
EDIMDB_00984	group_2077
EDIMDB_01042	group_358
EDIMDB_01046	group_3567
EDIMDB_01052	group_313
EDIMDB_01053	group_3490
EDIMDB_01054	group_964
EDIMDB_01055	group_4155
EDIMDB_01056	group_376
EDIMDB_01061	group_2660
EDIMDB_01083	group_2865
EDIMDB_01093	group_2172
EDIMDB_01108	group_1339
EDIMDB_01115	group_4390
EDIMDB_01118	group_3791
EDIMDB_01119	group_3972
EDIMDB_01121	group_596
EDIMDB_01122	group_269
EDIMDB_01124	group_4439
EDIMDB_01153	group_1366
EDIMDB_01155	group_430
EDIMDB_01156	group_199
EDIMDB_01158	group_3493
EDIMDB_01159	group_3273
EDIMDB_01160	group_3191
EDIMDB_01161	group_1162
EDIMDB_01162	group_549
EDIMDB_01163	group_3619
EDIMDB_01164	group_3391
EDIMDB_01165	group_3980
EDIMDB_01166	bppA
EDIMDB_01167	group_599
EDIMDB_01168	group_264
EDIMDB_01169	group_3940
EDIMDB_01170	group_641
EDIMDB_01171	group_888
EDIMDB_01172	group_26
EDIMDB_01173	group_388
EDIMDB_01174	group_766
EDIMDB_01175	group_1519
EDIMDB_01177	group_330
EDIMDB_01179	group_565
EDIMDB_01180	group_1174
EDIMDB_01181	group_3241
EDIMDB_01182	group_3861
EDIMDB_01184	bdrP
EDIMDB_01185	mlpA
EDIMDB_01186	group_239
EDIMDB_01187	group_1669
EDIMDB_01188	group_1026
EDIMDB_01194	group_1494
EDIMDB_01195	group_2854
EDIMDB_01196	Erp protein
EDIMDB_01197	group_1375
EDIMDB_01198	group_117
EDIMDB_01199	group_221
EDIMDB_01200	group_497
EDIMDB_01201	group_4465
EDIMDB_01202	group_654
EDIMDB_01203	group_520
EDIMDB_01205	group_403
EDIMDB_01206	group_714
EDIMDB_01207	group_3955
EDIMDB_01209	group_4061
EDIMDB_01210	group_284
EDIMDB_01211	group_4128
EDIMDB_01212	group_636
EDIMDB_01213	group_635
EDIMDB_01214	group_3691
EDIMDB_01215	group_9
EDIMDB_01216	group_371
EDIMDB_01218	group_4153
EDIMDB_01219	group_959
EDIMDB_01220	group_3492
EDIMDB_01222	group_743
EDIMDB_01223	group_555
EDIMDB_01224	group_3763
EDIMDB_01226	group_3850
EDIMDB_01227	group_904
EDIMDB_01244	group_145
EDIMDB_01245	group_462
EDIMDB_01249	group_3647
EDIMDB_01261	group_3693
EDIMDB_01264	group_4351
EDIMDB_01267	group_3964
EDIMDB_01289	group_351
EDIMDB_01291	group_2006
EDIMDB_01292	group_4302
EDIMDB_01301	group_916
EDIMDB_01307	group_4348
EDIMDB_01308	group_601
EDIMDB_01312	group_410
EDIMDB_01314	group_3898
EDIMDB_01331	group_235
EDIMDB_01335	group_2314
EDIMDB_01376	group_1889
EDIMDB_01377	group_2327
EDIMDB_01378	group_2681
EDIMDB_01379	group_1881
EDIMDB_01386	group_1259
EDIMDB_01387	group_1422
EDIMDB_01388	group_1212
EDIMDB_01427	group_522
EDIMDB_01428	group_3326
EDIMDB_01429	group_1093
EDIMDB_01431	group_1340
EDIMDB_01432	group_897
EDIMDB_01433	group_679
JKDFDB_00925	group_2079
JKDFDB_00995	group_4300
JKDFDB_00996	group_1126
JKDFDB_00997	group_4355
JKDFDB_00998	mlpF
JKDFDB_01005	group_3575
JKDFDB_01009	group_4160
JKDFDB_01013	group_4434
JKDFDB_01014	group_3942
JKDFDB_01016	group_589
JKDFDB_01018	group_3985
JKDFDB_01020	group_3548
JKDFDB_01022	group_4392
JKDFDB_01023	group_4471
JKDFDB_01025	group_200
JKDFDB_01027	group_453
JKDFDB_01064	group_687
JKDFDB_01065	group_688
JKDFDB_01120	group_97
JKDFDB_01121	group_96
JKDFDB_01122	group_3803
JKDFDB_01129	group_202
JKDFDB_01130	group_736
JKDFDB_01131	group_3981
JKDFDB_01134	Phage tail sheath protein
JKDFDB_01135	group_3946
JKDFDB_01136	group_643
JKDFDB_01137	group_4074
JKDFDB_01139	group_372
JKDFDB_01141	group_1517
JKDFDB_01142	group_1040
JKDFDB_01143	group_331
JKDFDB_01144	group_749
JKDFDB_01146	group_3762
JKDFDB_01148	group_3866
JKDFDB_01149	group_4307
JKDFDB_01150	group_697
JKDFDB_01151	mlpG
JKDFDB_01152	group_238
JKDFDB_01162	group_1656
JKDFDB_01163	group_1369
JKDFDB_01165	group_450
JKDFDB_01166	group_3512
JKDFDB_01168	group_3188
JKDFDB_01169	group_1159
JKDFDB_01170	group_3442
JKDFDB_01171	group_3627
JKDFDB_01177	group_3768
JKDFDB_01179	group_744
JKDFDB_01186	group_4081
JKDFDB_01188	group_670
JKDFDB_01197	group_1154
JKDFDB_01198	group_3197
JKDFDB_01199	group_510
JKDFDB_01200	group_3504
JKDFDB_01201	group_449
JKDFDB_01202	group_119
JKDFDB_01203	group_999
JKDFDB_01206	group_4192
JKDFDB_01208	group_89
JKDFDB_01213	group_346
JKDFDB_01215	group_3334
JKDFDB_01216	group_4066
JKDFDB_01218	group_4125
JKDFDB_01219	group_638
JKDFDB_01257	group_524
JKDFDB_01261	group_729
JKDFDB_01348	mlpC
JKDFDB_01384	group_711
JKDFDB_01385	group_3650
JKDFDB_01386	group_2144
JKDFDB_01387	group_849
JKDFDB_01388	group_3765
JKDFDB_01389	group_571
JKDFDB_01390	group_3741
JKDFDB_01392	group_3488
JKDFDB_01398	group_4436
JKDFDB_01401	group_597
JKDFDB_01404	group_726
JKDFDB_01406	group_539
JKDFDB_01412	group_122
JKDFDB_01414	group_2800
JKDFDB_01415	group_3350
JKDFDB_01416	group_813
JKDFDB_01417	group_4047
JKDFDB_01421	group_1018
JKDFDB_01422	group_831
JKDFDB_01423	group_4359
JKDFDB_01424	group_2783
JKDFDB_01486	group_1320
JKDFDB_01490	group_2457
JKDFDB_01491	BBC07
JKDFDB_01492	group_2461
JKDFDB_01493	BBC05
JKDFDB_01494	group_2462
JKDFDB_01495	group_1394
JKDFDB_01496	group_1400
JKDFDB_01497	group_1836
JKDFDB_01498	group_1744
JKDFDB_01499	Uncharacterized protein family DUF, BBC12
JKDFDB_01500	group_1268
JKDFDB_01501	group_2133
JKDFDB_01502	group_1745
JKDFDB_01503	TM2 domain protein
JKDFDB_01504	group_1540
JKDFDB_01505	group_2876
JKDFDB_01506	group_2134
JKDFDB_01507	group_1356
JKDFDB_01508	group_1840
JKDFDB_01509	group_1633
JKDFDB_01532	group_667
JKDFDB_01553	group_1030
JKDFDB_01554	group_1071
JKDFDB_01558	group_2132
JKDFDB_01559	group_922
JKDFDB_01560	group_1062
JKDFDB_01561	group_608
JKDFDB_01562	group_3323
JKDFDB_01563	group_306
JKDFDB_01564	group_2253
JKDFDB_01565	DUF787 domain-containing protein
JKDFDB_01566	group_672
OHDNIM_00118	group_2584
OHDNIM_00119	group_2585
OHDNIM_00120	group_2586
OHDNIM_00323	Oligopeptide transport system substrate-binding protein
OHDNIM_00544	dedD
OHDNIM_00579	group_2587
OHDNIM_00873	group_2161
OHDNIM_00918	group_2115
OHDNIM_00919	group_2116
OHDNIM_00931	group_2464
OHDNIM_00932	group_1628
OHDNIM_00933	group_2128
OHDNIM_00934	group_2129
OHDNIM_00935	group_1627
OHDNIM_00936	group_2463
OHDNIM_00958	group_1134
OHDNIM_00960	group_1237
